model,projection,sequence,cp,m,n,k,p50_ms,p95_ms,pflops_per_gpu,algorithm,run_id
glm5,mla_input_packed,524288,8,65536,2624,6144,1.5446720123291016,1.5573615610599518,1.3680081549776837,66,20260908-140154-d4d2b3
glm5,mla_q_b,65536,4,16384,16384,2048,0.7974720001220703,0.8013135969638825,1.378746373048453,66,20260908-110831-0ab56f
glm5,mla_q_b,65536,8,8192,16384,2048,0.38836801052093506,0.3938255921006203,1.415553802051277,66,20260908-110831-0ab56f
glm5,mla_q_b,131072,4,32768,16384,2048,1.5085440278053284,1.5148432075977325,1.457712347150517,66,20260908-110831-0ab56f
glm5,mla_q_b,131072,8,16384,16384,2048,0.7974720001220703,0.8013135969638825,1.378746373048453,66,20260908-110831-0ab56f
glm5,mla_q_b,262144,4,65536,16384,2048,3.041599988937378,3.0552271962165833,1.4459647971791696,66,20260908-110831-0ab56f
glm5,mla_q_b,262144,8,32768,16384,2048,1.5085440278053284,1.5148432075977325,1.457712347150517,66,20260908-110831-0ab56f
glm5,mla_q_b,524288,4,131072,16384,2048,6.082959890365601,6.120076870918274,1.4460218677653214,66,20260908-110831-0ab56f
glm5,mla_q_b,524288,8,65536,16384,2048,3.041599988937378,3.0552271962165833,1.4459647971791696,66,20260908-110831-0ab56f
glm5,mla_kv_b,65536,4,16384,28672,512,0.4227840006351471,0.4260416105389595,1.1377827364075759,66,20260908-110831-0ab56f
glm5,mla_kv_b,65536,8,8192,28672,512,0.2065119966864586,0.20926879495382308,1.164669231982547,66,20260908-110831-0ab56f
glm5,mla_kv_b,131072,4,32768,28672,512,0.8549119830131531,0.8610447943210602,1.1253470455673777,66,20260908-110831-0ab56f
glm5,mla_kv_b,131072,8,16384,28672,512,0.4227840006351471,0.4260416105389595,1.1377827364075759,66,20260908-110831-0ab56f
glm5,mla_kv_b,262144,4,65536,28672,512,1.600592017173767,1.609094399213791,1.202146035943341,66,20260908-110831-0ab56f
glm5,mla_kv_b,262144,8,32768,28672,512,0.8549119830131531,0.8610447943210602,1.1253470455673777,66,20260908-110831-0ab56f
glm5,mla_kv_b,524288,4,131072,28672,512,3.177135944366455,3.204580771923065,1.2112452109704668,66,20260908-110831-0ab56f
glm5,mla_kv_b,524288,8,65536,28672,512,1.600592017173767,1.609094399213791,1.202146035943341,66,20260908-110831-0ab56f
glm5,mla_o,65536,4,16384,6144,16384,2.291408061981201,2.3226816296577453,1.4395231203280376,66,20260908-110831-0ab56f
glm5,mla_o,65536,8,8192,6144,16384,1.174784004688263,1.1949312150478364,1.4038899364327355,66,20260908-110831-0ab56f
glm5,mla_o,131072,4,32768,6144,16384,4.37064003944397,4.429934453964234,1.509405878113741,66,20260908-110831-0ab56f
glm5,mla_o,131072,8,16384,6144,16384,2.291408061981201,2.3226816296577453,1.4395231203280376,66,20260908-110831-0ab56f
glm5,mla_o,262144,4,65536,6144,16384,8.855040073394775,8.951042890548706,1.4900146610238585,66,20260908-110831-0ab56f
glm5,mla_o,262144,8,32768,6144,16384,4.37064003944397,4.429934453964234,1.509405878113741,66,20260908-110831-0ab56f
glm5,mla_o,524288,4,131072,6144,16384,18.468591690063477,18.730389499664305,1.4288192358934166,66,20260908-110831-0ab56f
glm5,mla_o,524288,8,65536,6144,16384,8.855040073394775,8.951042890548706,1.4900146610238585,66,20260908-110831-0ab56f
glm5,index_q,65536,4,16384,4096,2048,0.2051520049571991,0.20906720012426375,1.339874338548862,66,20260908-110831-0ab56f
glm5,index_q,65536,8,8192,4096,2048,0.11303999647498131,0.11528159864246845,1.2158435753527188,66,20260908-110831-0ab56f
glm5,index_q,131072,4,32768,4096,2048,0.39638400077819824,0.4008384123444557,1.3869273553137755,66,20260908-110831-0ab56f
glm5,index_q,131072,8,16384,4096,2048,0.2051520049571991,0.20906720012426375,1.339874338548862,66,20260908-110831-0ab56f
glm5,index_q,262144,4,65536,4096,2048,0.7681599855422974,0.7786352097988128,1.4313575927803355,66,20260908-110831-0ab56f
glm5,index_q,262144,8,32768,4096,2048,0.39638400077819824,0.4008384123444557,1.3869273553137755,66,20260908-110831-0ab56f
glm5,index_q,524288,4,131072,4096,2048,1.4622880220413208,1.5079983830451966,1.5038236123155913,66,20260908-110831-0ab56f
glm5,index_q,524288,8,65536,4096,2048,0.7681599855422974,0.7786352097988128,1.4313575927803355,66,20260908-110831-0ab56f
glm5,index_k,65536,4,16384,128,6144,0.040192000567913055,0.041571199893951416,0.6411674813861619,66,20260908-110831-0ab56f
glm5,index_k,65536,8,8192,128,6144,0.021247999742627144,0.02231359938159585,0.6064054049356312,66,20260908-110831-0ab56f
glm5,index_k,131072,4,32768,128,6144,0.07103999704122543,0.07254720106720924,0.7255012626491368,66,20260908-110831-0ab56f
glm5,index_k,131072,8,16384,128,6144,0.040192000567913055,0.041571199893951416,0.6411674813861619,66,20260908-110831-0ab56f
glm5,index_k,262144,4,65536,128,6144,0.1313759982585907,0.1327536016702652,0.7846122310797332,66,20260908-110831-0ab56f
glm5,index_k,262144,8,32768,128,6144,0.07103999704122543,0.07254720106720924,0.7255012626491368,66,20260908-110831-0ab56f
glm5,index_k,524288,4,131072,128,6144,0.25731199979782104,0.2594272017478943,0.8012002175179774,66,20260908-110831-0ab56f
glm5,index_k,524288,8,65536,128,6144,0.1313759982585907,0.1327536016702652,0.7846122310797332,66,20260908-110831-0ab56f
glm5,index_weights,65536,4,16384,32,6144,0.03747199848294258,0.03837439958006143,0.1719270710083059,66,20260908-110831-0ab56f
glm5,index_weights,65536,8,8192,32,6144,0.017487999983131886,0.017763200122863053,0.18419633320602954,66,20260908-110831-0ab56f
glm5,index_weights,131072,4,32768,32,6144,0.06508799642324448,0.06653760001063347,0.19796126161595126,66,20260908-110831-0ab56f
glm5,index_weights,131072,8,16384,32,6144,0.03747199848294258,0.03837439958006143,0.1719270710083059,66,20260908-110831-0ab56f
glm5,index_weights,262144,4,65536,32,6144,0.1233920007944107,0.12470720335841179,0.20884501110356657,66,20260908-110831-0ab56f
glm5,index_weights,262144,8,32768,32,6144,0.06508799642324448,0.06653760001063347,0.19796126161595126,66,20260908-110831-0ab56f
glm5,index_weights,524288,4,131072,32,6144,0.25387199223041534,0.25595199763774873,0.20301415331086395,66,20260908-110831-0ab56f
glm5,index_weights,524288,8,65536,32,6144,0.1233920007944107,0.12470720335841179,0.20884501110356657,66,20260908-110831-0ab56f
qwen25_72b,qkv_packed,65536,4,16384,10240,8192,1.801535964012146,1.8676848232746124,1.5257974996614987,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,65536,8,8192,10240,8192,0.9784319996833801,0.9837775766849518,1.4046857984660677,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,131072,4,32768,10240,8192,3.6539840698242188,3.6802591562271116,1.5045380696321617,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,131072,8,16384,10240,8192,1.801535964012146,1.8676848232746124,1.5257974996614987,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,262144,4,65536,10240,8192,7.361055850982666,7.394342398643493,1.4936873867479492,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,262144,8,32768,10240,8192,3.6539840698242188,3.6802591562271116,1.5045380696321617,66,20260908-135227-2a9f00
qwen25_72b,qkv_packed,524288,4,131072,10240,8192,14.874064445495605,14.954526233673096,1.4784279465845278,66,20260908-135227-2a9f00
