operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
oproj_forward,kimi_k3_kda,262144,8,32768,7168,12288,,,2.6130239963531494,2.2091018122605317,2.74689555,0.8042176238774466,,,12,along_n,4,32,,,,0,0,20260914-083312-3aabc2
oproj_forward,kimi_k3_kda,524288,8,65536,7168,12288,,,5.32420802116394,2.1683735958017927,2.73420706,0.7930539085806444,,,12,along_n,4,32,,,,64,16,20260914-083340-928b60
oproj_forward,llama31_70b / qwen25_72b,131072,4,32768,8192,8192,,,1.9303039908409119,2.278421705582263,2.77685299,0.8205049794812015,,,16,along_n,8,32,,,,64,16,20260914-083403-9e283a
oproj_forward,llama31_70b / qwen25_72b,262144,4,65536,8192,8192,,,3.752984046936035,2.3437597688136185,2.72831671,0.8590497430973175,,,8,along_n,8,32,,,,64,16,20260914-083419-9fb071
oproj_forward,llama31_70b / qwen25_72b,524288,4,131072,8192,8192,,,7.663527846336365,2.2955727958666112,2.71472286,0.8456011586636181,,,8,along_n,8,32,,,,64,16,20260914-083435-1a09f1
oproj_forward,llama31_70b / qwen25_72b,131072,8,16384,8192,8192,,,1.0523840188980103,2.089563520600282,2.78882654,0.7492626345273815,,,20,along_n,8,32,,,,64,16,20260914-083451-f68b00
oproj_forward,llama31_70b / qwen25_72b,262144,8,32768,8192,8192,,,1.9621680080890656,2.2414219847500267,2.77685299,0.807180643995859,,,8,along_n,8,32,,,,64,16,20260914-083514-140d94
oproj_forward,llama31_70b / qwen25_72b,524288,8,65536,8192,8192,,,3.9036960005760193,2.2532730573564312,2.72831671,0.8258839778745596,,,8,along_n,8,32,,,,0,0,20260914-083537-783926
qkv_forward,QwenDense,131072,4,32768,4096,2048,,,0.35863199830055237,1.5329246037529418,2.36458181089442,0.648285712378504,,,48,along_m,8,32,,,,0,0,20260914-075816-0a6bbd
qkv_forward,QwenDense,262144,4,65536,4096,2048,,,0.6544319987297058,1.6801006520314137,2.6993274280734463,0.6224145446595668,,,48,along_m,8,32,,,,0,0,20260914-075832-2ce485
