aliases,best_external_p50_ms,best_separated,best_separated_over_v3_p50,best_separated_p50_ms,beyond_native_context,cluster_m,comm_ctas,compute_clusters,compute_ctas,compute_subgrid_p50_ms,cp,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_boundary_p50_ms,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,exact_mismatches,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p50_tflops_per_gpu,fused_p95_ms,fused_throughput_as_best_pure_percent,fused_throughput_as_cublas_percent,global_seq,head_dim,k,last_wave_clusters,last_wave_ctas,m,model,n,n_tiles,native_max_context,overlap_ratio,policy,q_heads,result_source,route_p50_ms,same_policy_p50_ms,sequential_p50_ms,speedup_over_best_external,speedup_over_best_separated,speedup_over_te_userbuffers,suite,te_boundary_p50_ms,te_ub_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_userbuffers_p50_ms,te_userbuffers_p95_ms,tile_k,tile_m,tile_n,v1_over_v3_p50,v1_p50_ms,v2_auto_p50_ms,v2_over_v3_p50,v3_throughput_as_cublas_percent,waves
single-digit-B median-like O-proj,7.515007972717285,cuBLASLt+NCCL,1.9852846871619392,9.84276819229126,False,2,8,62,124,,4,5.88977623,746.7255697597191,9.84276819229126,,,0,False,False,6.363459196,6.369456291,690.4900999663678,6.469401836,92.46905796845196,92.46905796845196,524288,128,4096,22,,131072,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.1798507799379898,1.5453074395375046,1.1798507799379898,artificial,9.929519653320312,1.1798507799379898,7.515007972717285,7.560009527206422,7.515007972717285,7.560009527206422,64,128,320,1.3563128072967257,8.638975143,6.369456291,1.0,92.46905796845196,108
single-digit-B median-like O-proj,4.193040132522583,cuBLASLt+NCCL,2.220063011869879,5.510655879974365,False,2,8,62,124,,8,3.191215992,689.0863110064284,5.510655879974365,,,0,False,False,3.497522578,3.498415947,628.5768441679243,3.509927988,91.2188842134843,91.2188842134843,524288,128,4096,42,,65536,representative_small,4096,13,,,m128n320_cluster_m2,32,v3_golden,,,,1.1985539158424672,1.575186016602721,1.1985539158424672,artificial,5.736287832260132,1.1985539158424672,4.193040132522583,4.253660941123963,4.193040132522583,4.253660941123963,64,128,320,1.51925208995167,5.314975739,3.498415947,1.0,91.2188842134843,54
tens-of-B median-like O-proj,0.04841599985957146,TE+NCCL,1.722140330698769,0.0631519965827465,False,1,4,128,128,,4,0.03158399835,424.9548347636612,0.06543999910354614,,,0,True,False,0.04365184002,0.04335999861,309.5427405503784,0.04549599811,72.84132694302225,72.84132694302225,1024,128,5120,80,,256,representative_medium,5120,40,,,m128n128,40,v3_golden,,,,1.1166051986082262,1.456457532454393,1.1166051986082262,artificial,0.0631519965827465,1.1166051986082262,0.04841599985957146,0.0508992001414299,0.04841599985957146,0.0508992001414299,64,128,128,1.0070111238409931,0.04366400093,0.04335999861,1.0,72.84132694302225,1
tens-of-B median-like O-proj,0.05939200147986412,TE+NCCL,1.5733501685913989,0.05939200147986412,False,1,4,128,128,,8,0.02800000086,239.674506924283,0.06147199869155884,,,0,True,False,0.03816575997,0.03806399927,176.30534175869323,0.03975680098,73.56032313206798,73.56032313206798,1024,128,5120,80,,128,representative_medium,5120,40,,,m64n128,40,v3_golden,,,,1.5603195307612803,1.5603195307612803,1.6712904932722121,artificial,0.05939200147986412,1.6712904932722121,0.06361600011587143,0.0661040000617504,0.06361600011587143,0.0661040000617504,64,64,128,1.0180748613701829,0.03875200078,0.03806399927,1.0,73.56032313206798,1
tens-of-B median-like O-proj,0.10630399733781815,cuBLASLt+NCCL,1.8100386564565902,0.1446560025215149,False,1,13,119,119,,4,0.07391999662,726.2864401359329,0.1446560025215149,,,0,False,False,0.1036,0.1036,518.215166023166,0.1047,71.35134808880309,71.35134808880309,4096,128,5120,82,,1024,representative_medium,5120,40,,,m128n128,40,v3_golden,,,,1.02610036040365,1.3962934606323831,1.02610036040365,artificial,0.1650400012731552,1.02610036040365,0.10630399733781815,0.11198239848017691,0.10630399733781815,0.11198239848017691,64,128,128,1.079845583976834,0.1118720025,0.112560004,1.0864865250965252,71.35134808880309,3
tens-of-B median-like O-proj,0.10496000200510025,cuBLASLt+NCCL,1.3455527416530122,0.10496000200510025,False,1,4,128,128,,8,0.05643200129,475.679490118611,0.10496000200510025,,,0,True,True,0.08296191961,0.08292800188,323.6970021156863,0.08475999534,68.04939225674251,68.04939225674251,4096,128,5120,128,,512,representative_medium,5120,32,,,m128n160,40,v3_golden,,,,1.2656762447620695,1.2656762447620695,1.558749688253575,artificial,0.10811199992895126,1.558749688253575,0.1292639970779419,0.1371439978480339,0.1292639970779419,0.1371439978480339,64,128,160,0.9980705109688819,0.08276799321,0.08292800188,1.0,68.04939225674251,1
tens-of-B median-like O-proj,0.3604799956083298,TE+NCCL,1.7509506132245276,0.47382399439811707,False,2,4,64,128,,4,0.2823039889,760.6990097333335,0.47417600452899933,,,0,True,True,0.3585964799,0.357648015,600.4461252217491,0.3649168015,78.93347007671775,78.93347007671775,16384,128,5120,64,,4096,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.0079183456626477,1.3248332844741697,1.0079183456626477,artificial,0.47382399439811707,1.0079183456626477,0.3604799956083298,0.3908784061670303,0.3604799956083298,0.3908784061670303,64,128,320,1.019102590573584,0.3644800186,0.357648015,1.0,78.93347007671775,4
tens-of-B median-like O-proj,0.2799680083990097,cuBLASLt+NCCL,1.6941292211722074,0.3032799959182739,False,2,4,64,128,,8,0.1811999977,592.5727580734953,0.3032799959182739,,,0,True,True,0.2582630408,0.2580960095,416.02418653435245,0.2619968057,70.20643133965231,70.20643133965231,16384,128,5120,64,,2048,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.0847436538882624,1.1750665828030709,1.0847436538882624,artificial,0.3056640028953552,1.0847436538882624,0.2799680083990097,0.28334079682826996,0.2799680083990097,0.28334079682826996,64,128,320,1.0920587301835054,0.2818560004,0.2580960095,1.0,70.20643133965231,2
tens-of-B median-like O-proj,2.7995519638061523,cuBLASLt+NCCL,1.600068930328591,3.513327956199646,False,2,6,63,126,,4,2.1947999,782.7533245285823,3.513327956199646,,,0,False,False,2.321507206,2.364448071,726.5910972929124,2.397958279,92.82504136670464,92.82504136670464,131072,128,5120,32,,32768,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.184019221290038,1.4858977024239524,1.184019221290038,artificial,3.515712022781372,1.184019221290038,2.7995519638061523,2.838547241687775,2.7995519638061523,2.838547241687775,64,128,320,1.1512403581140016,2.722048044,2.364448071,1.0,92.82504136670464,33
tens-of-B median-like O-proj,1.5952479839324951,cuBLASLt+NCCL,1.4842325889713373,2.0636640787124634,False,2,6,63,126,,8,1.281087995,670.5187017227493,2.0636640787124634,,,0,False,False,1.3929,1.393,616.6500066044508,1.3997,91.966115936827,91.966115936827,131072,128,5120,16,,16384,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.1451887896141386,1.481453035687339,1.1451887896141386,artificial,2.084976077079773,1.1451887896141386,1.5952479839324951,1.614467203617096,1.5952479839324951,1.614467203617096,64,128,320,1.3167781959798994,1.834272027,1.783087969,1.2800344357501796,91.966115936827,17
tens-of-B median-like O-proj,5.719760179519653,TE+NCCL,1.5060608440719605,7.103776216506958,False,2,6,63,126,,4,4.386127949,783.3729149609904,7.637648105621338,,,0,False,False,4.765218601,4.788831711,717.4973029241203,4.801460743,91.5907723156154,91.5907723156154,262144,128,5120,1,,65536,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.1943957367266216,1.4834048563848055,1.1943957367266216,artificial,7.103776216506958,1.1943957367266216,5.719760179519653,5.797926449775696,5.719760179519653,5.797926449775696,64,128,320,1.1350309094209052,5.435472012,4.788831711,1.0,91.5907723156154,66
tens-of-B median-like O-proj,3.012735962867737,cuBLASLt+NCCL,2.0238030038046095,3.955567955970764,False,2,8,62,124,,8,2.447455883,701.9480638376843,3.955567955970764,,,0,False,False,2.731374731,2.733103991,628.5845412605086,2.748828888,89.5485825295844,89.5485825295844,262144,128,5120,2,,32768,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.1023129645957686,1.4472804434065765,1.1023129645957686,artificial,4.007264137268066,1.1023129645957686,3.012735962867737,3.0760112047195434,3.012735962867737,3.0760112047195434,64,128,320,1.305434419161843,3.567888021,2.733103991,1.0,89.5485825295844,34
tens-of-B median-like O-proj,11.256192207336426,TE+NCCL,1.9000970454581132,14.507599830627441,False,2,6,63,126,,4,9.372768402,733.1822764481874,14.732896327972412,,,0,False,False,9.562650871,9.511631966,722.4782979581487,9.666193962,98.540065842577,98.540065842577,524288,128,5120,2,,131072,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.1834133456353737,1.525248231059179,1.1834133456353737,artificial,14.507599830627441,1.1834133456353737,11.256192207336426,11.372284889221191,11.256192207336426,11.372284889221191,64,128,320,1.136844625470447,10.81324768,9.511631966,1.0,98.540065842577,131
tens-of-B median-like O-proj,6.004479885101318,cuBLASLt+NCCL,1.4870438784533149,7.929935932159424,False,2,8,62,124,,8,4.950160027,694.1136888623662,7.929935932159424,,,0,False,False,5.349253111,5.352848053,641.8963891333158,5.378229141,92.47712578401486,92.47712578401486,524288,128,5120,4,,65536,representative_medium,5120,16,,,m128n320_cluster_m2,40,v3_golden,,,,1.1217355369794426,1.481442374908269,1.1217355369794426,artificial,7.996272087097168,1.1217355369794426,6.004479885101318,6.149176025390625,6.004479885101318,6.149176025390625,64,128,320,1.3277566834755807,7.107279778,5.352848053,1.0,92.47712578401486,67
wide-K stress shape; not one specific GQA checkpoint,0.12019199877977371,TE+NCCL,1.6909342736108905,0.15958400070667267,False,1,16,116,116,,4,0.09651199728,623.0266064181902,0.16020800173282623,,,0,True,False,0.1167,0.1156,520.151748650519,0.1258,83.48788692041522,83.48788692041522,1024,128,16384,112,,256,representative_large,7168,56,,,m128n128,128,v3_golden,,,,1.0397231728354128,1.3804844351788295,1.0397231728354128,artificial,0.15958400070667267,1.0397231728354128,0.12019199877977371,0.12169279865920543,0.12019199877977371,0.12169279865920543,64,128,128,1.1583390588235294,0.1339039952,0.1345120072,1.1635986782006922,83.48788692041522,1
wide-K stress shape; not one specific GQA checkpoint,0.11585600301623344,cuBLASLt+NCCL,1.3604067451495192,0.1409440040588379,False,1,4,128,128,,8,0.09385599941,320.32870845757265,0.1409440040588379,,,0,True,False,0.1115244798,0.1116960049,269.16603775503523,0.1152879968,84.02807199239406,84.02807199239406,1024,128,16384,112,,128,representative_large,7168,56,,,m64n128,128,v3_golden,,,,1.0372439293594953,1.2618535836176348,1.0372439293594953,artificial,0.14745600521564484,1.0372439293594953,0.11585600301623344,0.11693439967930316,0.11585600301623344,0.11693439967930316,64,64,128,0.9683426376514922,0.108160004,0.1116960049,1.0,84.02807199239406,1
wide-K stress shape; not one specific GQA checkpoint,0.38940800726413727,cuBLASLt+NCCL,1.6723995315544093,0.48238399624824524,False,2,4,64,128,,4,0.338447988,710.6503129101184,0.48238399624824524,,,0,False,False,0.3856486392,0.3851519823,624.4759981234038,0.3918463886,87.8738792875739,87.8738792875739,4096,128,16384,48,,1024,representative_large,7168,28,,,m128n256_cluster_m2,128,v3_golden,,,,1.0110502481091275,1.2524510282086774,1.0110502481091275,artificial,0.5031999945640564,1.0110502481091275,0.38940800726413727,0.3922735959291458,0.38940800726413727,0.3922735959291458,64,128,256,0.9925640434643558,0.3822880089,0.3851519823,1.0,87.8738792875739,2
wide-K stress shape; not one specific GQA checkpoint,0.25065600872039795,cuBLASLt+NCCL,1.7489725389137833,0.30931200087070465,False,1,20,112,112,,8,0.1962720007,612.7164539980154,0.30931200087070465,,,0,True,True,0.2366,0.2365,508.49507098520087,0.2391,82.99027513742072,82.99027513742072,4096,128,16384,112,,512,representative_large,7168,56,,,m128n128,128,v3_golden,,,,1.059856273659188,1.3078731537873347,1.059856273659188,artificial,0.3094239979982376,1.059856273659188,0.25065600872039795,0.25299201160669327,0.25065600872039795,0.25299201160669327,64,128,128,1.1208795847780129,0.2650880218,0.2630720139,1.1123552384778013,82.99027513742072,2
wide-K stress shape; not one specific GQA checkpoint,1.502415955066681,TE+NCCL,1.4481020790766008,1.787376046180725,False,2,4,64,128,,4,1.206655979,797.304858259025,1.7971680164337158,,,0,False,True,1.471545594,1.479984045,650.0561121278845,1.540715218,81.53168833654554,81.53168833654554,16384,128,16384,64,,4096,representative_large,7168,28,,,m128n256_cluster_m2,128,v3_golden,,,,1.0151568593880895,1.2076995371802979,1.0151568593880895,artificial,1.787376046180725,1.0151568593880895,1.502415955066681,1.5777375757694245,1.502415955066681,1.5777375757694245,64,128,256,1.009989201606562,1.494767904,1.479984045,1.0,81.53168833654554,7
wide-K stress shape; not one specific GQA checkpoint,0.8546399772167206,TE+NCCL,1.718864903116834,1.034175992012024,False,2,4,64,128,,8,0.6934880018,693.6476707649363,1.0360159873962402,,,0,False,False,0.8004876792,0.800639987,600.8147793797364,0.8103663921,86.61670826590878,86.61670826590878,16384,128,16384,56,,2048,representative_large,7168,23,,,m128n320_cluster_m2,128,v3_golden,,,,1.0674460320412658,1.2916866616755975,1.0674460320412658,artificial,1.034175992012024,1.0674460320412658,0.8546399772167206,0.871246388554573,0.8546399772167206,0.871246388554573,64,128,320,1.043565201171997,0.8355200291,0.800639987,1.0,86.61670826590878,3
wide-K stress shape; not one specific GQA checkpoint,12.467679977416992,TE+NCCL,1.5980448294723122,14.888895988464355,False,2,6,63,126,,4,10.1873436,755.5042508266827,15.071951866149902,,,0,False,False,11.14029448,11.14926434,690.3219046317813,11.17914295,91.3723389215113,91.3723389215113,131072,128,16384,46,,32768,representative_large,7168,23,,,m128n320_cluster_m2,128,v3_golden,,,,1.11825135696953,1.335415103133554,1.11825135696953,artificial,14.888895988464355,1.11825135696953,12.467679977416992,15.839716482162475,12.467679977416992,15.839716482162475,64,128,320,1.0361853040431186,11.55270386,11.14926434,1.0,91.3723389215113,47
wide-K stress shape; not one specific GQA checkpoint,6.242720127105713,TE+NCCL,1.3814830529937183,7.972752094268799,False,2,4,64,128,,8,5.493776321,700.4818675463507,7.975744009017944,,,0,False,True,5.748520937,5.737775803,670.6938070330177,5.82648468,95.74749013594389,95.74749013594389,131072,128,16384,64,,16384,representative_large,7168,28,,,m128n256_cluster_m2,128,v3_golden,,,,1.0880034949852349,1.389519627117574,1.0880034949852349,artificial,7.972752094268799,1.0880034949852349,6.242720127105713,6.303449583053588,6.242720127105713,6.303449583053588,64,128,256,0.9975740022827797,5.723855972,5.737775803,1.0,95.74749013594389,28
wide-K stress shape; not one specific GQA checkpoint,24.551295280456543,cuBLASLt+NCCL,1.4244839309280113,30.260191917419434,False,2,6,63,126,,4,20.5291214,749.820827152593,30.260191917419434,,,0,False,False,23.25918152,22.55342484,682.5199675023724,27.82769203,91.02440780342255,91.02440780342255,262144,128,16384,29,,65536,representative_large,7168,23,,,m128n320_cluster_m2,128,v3_golden,,,,1.0885839048672192,1.3417116084183793,1.0885839048672192,artificial,30.471760749816895,1.0885839048672192,24.551295280456543,28.789139461517333,24.551295280456543,28.789139461517333,64,128,320,1.0387622636562721,23.42764664,22.55342484,1.0,91.02440780342255,94
