model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches,suite,q_heads,head_dim,native_max_context,beyond_native_context,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,last_wave_ctas,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,524288,8,65536,4096,4096,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,13,54,42,False,False,3.497522578,3.498415947,3.509927988,628.5768441679243,3.498415947,1.0,5.314975739,1.51925208995167,4.193040132522583,4.253660941123963,1.1985539158424672,cuBLASLt+NCCL,7.766703844070435,2.220063011869879,3.191215992,689.0863110064284,91.2188842134843,0,artificial,32,128,,False,91.2188842134843,91.2188842134843,,,,,,,,
representative_medium,tens-of-B median-like O-proj,1024,4,256,5120,5120,v3_golden,4,m128n128,128,128,64,1,128,128,40,1,80,True,False,0.04365184002,0.04335999861,0.04549599811,309.5427405503784,0.04335999861,1.0,0.04366400093,1.0070111238409931,0.04841599985957146,0.0508992001414299,1.1166051986082262,TE+NCCL,0.07467200234532356,1.722140330698769,0.03158399835,424.9548347636612,72.84132694302225,0,artificial,40,128,,False,72.84132694302225,72.84132694302225,,,,,,,,
representative_medium,tens-of-B median-like O-proj,1024,8,128,5120,5120,v3_golden,4,m64n128,64,128,64,1,128,128,40,1,80,True,False,0.03816575997,0.03806399927,0.03975680098,176.30534175869323,0.03806399927,1.0,0.03875200078,1.0180748613701829,0.06361600011587143,0.0661040000617504,1.6712904932722121,cuBLASLt+NCCL,0.059887999668717384,1.5733501685913989,0.02800000086,239.674506924283,73.56032313206798,0,artificial,40,128,,False,73.56032313206798,73.56032313206798,,,,,,,,
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,v3_golden,13,m128n128,128,128,64,1,119,119,40,3,82,False,False,0.1036,0.1036,0.1047,518.215166023166,0.112560004,1.0864865250965252,0.1118720025,1.079845583976834,0.10630399733781815,0.11198239848017691,1.02610036040365,cuBLASLt+NCCL,0.18752000480890274,1.8100386564565902,0.07391999662,726.2864401359329,71.35134808880309,0,artificial,40,128,,False,71.35134808880309,71.35134808880309,,,,,,,,
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,v3_golden,4,m128n160,128,160,64,1,128,128,32,1,128,True,True,0.08296191961,0.08292800188,0.08475999534,323.6970021156863,0.08292800188,1.0,0.08276799321,0.9980705109688819,0.1292639970779419,0.1371439978480339,1.558749688253575,cuBLASLt+NCCL,0.11158400028944016,1.3455527416530122,0.05643200129,475.679490118611,68.04939225674251,0,artificial,40,128,,False,68.04939225674251,68.04939225674251,,,,,,,,
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,v3_golden,4,m128n320_cluster_m2,128,320,64,2,128,64,16,4,64,True,True,0.3585964799,0.357648015,0.3649168015,600.4461252217491,0.357648015,1.0,0.3644800186,1.019102590573584,0.3604799956083298,0.3908784061670303,1.0079183456626477,cuBLASLt+NCCL,0.626224011182785,1.7509506132245276,0.2823039889,760.6990097333335,78.93347007671775,0,artificial,40,128,,False,78.93347007671775,78.93347007671775,,,,,,,,
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,v3_golden,4,m128n320_cluster_m2,128,320,64,2,128,64,16,2,64,True,True,0.2582630408,0.2580960095,0.2619968057,416.02418653435245,0.2580960095,1.0,0.2818560004,1.0920587301835054,0.2799680083990097,0.28334079682826996,1.0847436538882624,cuBLASLt+NCCL,0.43724799156188965,1.6941292211722074,0.1811999977,592.5727580734953,70.20643133965231,0,artificial,40,128,,False,70.20643133965231,70.20643133965231,,,,,,,,
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,16,33,32,False,False,2.321507206,2.364448071,2.397958279,726.5910972929124,2.364448071,1.0,2.722048044,1.1512403581140016,2.7995519638061523,2.838547241687775,1.184019221290038,TE+NCCL,3.7832798957824707,1.600068930328591,2.1947999,782.7533245285823,92.82504136670464,0,artificial,40,128,,False,92.82504136670464,92.82504136670464,,,,,,,,
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,16,17,16,False,False,1.3929,1.393,1.3997,616.6500066044508,1.783087969,1.2800344357501796,1.834272027,1.3167781959798994,1.5952479839324951,1.614467203617096,1.1451887896141386,cuBLASLt+NCCL,2.0675359964370728,1.4842325889713373,1.281087995,670.5187017227493,91.966115936827,0,artificial,40,128,,False,91.966115936827,91.966115936827,,,,,,,,
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,16,66,1,False,False,4.765218601,4.788831711,4.801460743,717.4973029241203,4.788831711,1.0,5.435472012,1.1350309094209052,5.719760179519653,5.797926449775696,1.1943957367266216,TE+NCCL,7.2122719287872314,1.5060608440719605,4.386127949,783.3729149609904,91.5907723156154,0,artificial,40,128,,False,91.5907723156154,91.5907723156154,,,,,,,,
