model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_clusters,n_tiles,waves,last_wave_clusters,last_wave_ctas,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,4,m128n160,128,160,64,1,128,32,2,128,128,True,True,0.1144684799,0.112560004,0.1278128028,476.9641905840728,0.07391999662,726.2864401359329,0.07315199822,733.9114789255582,65.671636454455,64.98933512831076,0.0777759999,0.07423999906,0.0747680068,0.1540479958,0.5117691211
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,4,m128n160,128,160,64,1,128,32,1,128,128,True,True,0.08296191961,0.08292800188,0.08475999534,323.69700211568636,0.05643200129,475.679490118611,0.05540800095,484.4705663397517,68.04939225674251,66.81458577788658,0.05166399851,0.05144000053,0.05987200141,0.1082399935,0.5524634381
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,4,64,128,True,True,0.3585964799,0.357648015,0.3649168015,600.4461252217492,0.2823039889,760.6990097333335,0.2785280049,771.0117511418687,78.93347007671775,77.87768789937223,0.264959991,0.2675200105,0.2965599895,0.5567519665,0.7694115403
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,2,64,128,True,True,0.2582630408,0.2580960095,0.2619968057,416.0241865343524,0.1811999977,592.5727580734953,0.1800960004,596.2052580930053,70.20643133965231,69.7786845867526,0.1768960059,0.1761119962,0.2135039866,0.3912320137,0.7502318221
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,6,m128n320_cluster_m2,128,320,64,2,63,16,33,32,64,False,False,2.321507206,2.364448071,2.397958279,726.5910972929123,2.1947999,782.7533245285823,2.215791941,775.3376508918352,92.82504136670465,92.82504136670465,2.252304077,2.271311998,1.611376047,3.581376076,0.9561822401
representative_medium,tens-of-B median-like O-proj,131072,8,16384,5120,5120,4,m128n320_cluster_m2,128,320,64,2,64,16,16,64,128,True,True,1.782561283,1.783087969,1.802444816,481.74485731163605,1.281087995,670.5187017227493,1.280575991,670.7867906606723,71.84659519173728,71.81788073631492,1.286992073,1.281631947,1.586992025,2.886896133,0.8480115146
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,6,m128n320_cluster_m2,128,320,64,2,63,16,66,1,2,False,False,4.765218601,4.788831711,4.801460743,717.4973029241203,4.386127949,783.3729149609904,4.364336014,787.2844404688406,91.59077231561541,91.13571487540626,4.419872284,4.518015862,3.113088131,7.087391853,0.8942173513
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,8,m128n320_cluster_m2,128,320,64,2,62,16,34,2,4,False,False,2.731374731,2.733103991,2.748828888,628.5845412605086,2.447455883,701.9480638376843,2.443264008,703.152386633119,89.5485825295844,89.39520838012635,2.553264141,2.69691205,1.718688011,4.266448021,0.9002544372
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,6,m128n320_cluster_m2,128,320,64,2,63,16,131,2,4,False,False,9.562650871,9.511631966,9.666193962,722.4782979581488,9.372768402,733.1822764481874,8.80164814,780.7569178288012,98.540065842577,92.53562555260878,9.102640152,9.090368271,6.163087845,14.13427162,0.9887739681
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,8,m128n320_cluster_m2,128,320,64,2,62,16,67,4,8,False,False,5.349253111,5.352848053,5.378229141,641.8963891333159,4.950160027,694.1136888623662,4.949840069,694.1585564186033,92.47712578401486,92.47114844266626,4.989328384,5.325327873,3.410128117,8.428848267,0.8949993296
representative_large,hundreds-of-B median-like O-proj,1024,4,256,7168,16384,4,m128n128,128,128,64,1,128,56,1,112,112,True,False,0.1346623999,0.1345120072,0.1402655989,447.01988614738326,0.09651199728,623.0266064181902,0.09559999406,628.9701451891492,71.74972650322624,71.07171772246068,0.1032959968,0.1033599973,0.06403200328,0.169344008,0.51129462
representative_large,hundreds-of-B median-like O-proj,1024,8,128,7168,16384,4,m64n128,64,128,64,1,128,56,1,112,112,True,False,0.1115244798,0.1116960049,0.1152879968,269.16603775503523,0.09385599941,320.32870845757265,0.07883200049,381.3777512320492,84.02807199239406,70.57727853433727,0.1049759984,0.1050080061,0.04617600143,0.1488159895,0.8585799875
representative_large,hundreds-of-B median-like O-proj,4096,4,1024,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,2,48,96,False,False,0.3856486392,0.3851519823,0.3918463886,624.4759981234037,0.338447988,710.6503129101184,0.3062559962,785.350071705796,87.87387928757391,79.51562247483206,0.3323839903,0.3428159952,0.2478399873,0.5772800446,0.7756395409
representative_large,hundreds-of-B median-like O-proj,4096,8,512,7168,16384,4,m128n128,128,128,64,1,128,56,2,96,96,False,False,0.2630131203,0.2630720139,0.2678000033,457.13370458977585,0.1962720007,612.7164539980154,0.1956640035,614.6203805341231,74.60770828120383,74.37659392168433,0.2276639938,0.2267360091,0.1502720118,0.3927360177,0.7639714655
representative_large,hundreds-of-B median-like O-proj,16384,4,4096,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,7,64,128,False,True,1.471545594,1.479984045,1.540715218,650.0561121278845,1.206655979,797.304858259025,1.249760032,769.8059224732833,81.53168833654554,81.53168833654554,1.325680017,1.311136007,0.9908000231,2.08742404,0.8521202005
representative_large,hundreds-of-B median-like O-proj,16384,8,2048,7168,16384,4,m128n320_cluster_m2,128,320,64,2,64,23,3,56,112,False,False,0.8004876792,0.800639987,0.8103663921,600.8147793797364,0.6934880018,693.6476707649363,0.699631989,687.5562363001101,86.61670826590877,86.61670826590877,0.7621600032,0.7582880259,0.571968019,1.35060811,0.9332106327
representative_large,hundreds-of-B median-like O-proj,131072,4,32768,7168,16384,6,m128n320_cluster_m2,128,320,64,2,63,23,47,46,92,False,False,11.14029448,11.14926434,11.17914295,690.3219046317812,10.1873436,755.5042508266827,10.06387138,764.7734260323983,91.3723389215113,90.26489168342744,10.59291267,10.4684639,5.113455772,14.39563179,0.957713425
representative_large,hundreds-of-B median-like O-proj,131072,8,16384,7168,16384,4,m128n256_cluster_m2,128,256,64,2,64,28,28,64,128,False,True,5.748520937,5.737775803,5.82648468,670.6938070330177,5.493776321,700.4818675463507,5.496079922,700.1882708822807,95.74749013594389,95.74749013594389,5.524640083,5.693072319,4.350527763,9.934448242,0.9500712988
representative_large,hundreds-of-B median-like O-proj,262144,4,65536,7168,16384,6,m128n320_cluster_m2,128,320,64,2,63,23,94,29,58,False,False,23.25918152,22.55342484,27.82769203,682.5199675023724,20.5291214,749.820827152593,20.1085434,765.5036211555731,91.02440780342253,89.15960011685745,20.72928047,21.65182495,10.15628815,29.73692703,0.8083868359
representative_large,hundreds-of-B median-like O-proj,262144,8,32768,7168,16384,6,m128n320_cluster_m2,128,320,64,2,63,23,47,46,92,False,False,11.6888397,11.69273567,11.77287197,658.2361571876704,10.91713619,705.000034851814,10.8220005,711.1976565175728,93.3668261911543,92.55319546618982,11.17857552,11.72958374,6.045871735,17.26771164,0.9778865997
representative_large,hundreds-of-B median-like O-proj,524288,4,131072,7168,16384,6,m128n320_cluster_m2,128,320,64,2,63,23,187,58,116,False,False,46.83772476,45.87843323,50.72131729,671.0413457972396,41.69548798,738.3610809998247,40.14590454,766.8609271726227,90.88254555461856,87.5049597677815,42.38299179,43.62772751,20.24332809,60.52571106,0.7931653395
representative_large,hundreds-of-B median-like O-proj,524288,8,65536,7168,16384,6,m128n320_cluster_m2,128,320,64,2,63,23,94,29,58,False,False,24.08533241,23.75963211,26.55798721,647.8704180939442,21.67399979,710.213294177761,21.67951965,710.0324655423811,91.22195027959968,91.22195027959968,22.46744156,23.4801445,12.01543999,34.55276871,0.8686304239
