models,ep,h,f,experts,topk,target_rows,cohort,status,pflops,ms,reference_backend,reference_pflops,retention_pct,historical_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,buffer_rows,tail_balance,run,case_index,reference_run,reference_case
"deepseek_v4_pro","4","7168","3072","384","6","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2400343717972395","","","256","64","1","8","20","128","0","true","20260917-004117-491c8e","23","20260916-151118-91f449","0"
"deepseek_v32","4","7168","2048","256","8","192","release_equivalent","valid","0.5290051156487735","1.363983985","deepgemm_m256","1.0594891891553815","49.930204202507554","16.635972269131894","256","64","1","1","40","108","0","true","20260917-004117-491c8e","24","20260916-111910-8ecf06","7"
"deepseek_v32","4","7168","2048","256","8","256","release_equivalent","valid","0.843562296501941","1.1404879975","deepgemm_m256","1.342012531954159","62.85800440876626","24.005865305040164","256","64","1","1","40","108","0","true","20260917-004117-491c8e","25","20260916-111910-8ecf06","8"
"deepseek_v32","4","7168","2048","256","8","384","release_equivalent","valid","0.9463506434995823","1.5249199875","deepgemm_m128","1.293952502422363","73.13642824817391","18.668523091936983","256","64","1","8","40","108","0","true","20260917-004117-491c8e","26","20260916-111910-8ecf06","9"
"deepseek_v32","4","7168","2048","256","8","512","release_equivalent","valid","1.0042470208957595","1.9160080224999998","deepgemm_m256","1.4453782553168475","69.47987609482988","20.281333399270785","256","64","1","8","40","108","0","true","20260917-004117-491c8e","27","20260916-111910-8ecf06","10"
"deepseek_v32","4","7168","2048","256","8","1024","release_equivalent","valid","1.0912208575080244","3.526591955","deepgemm_m256","1.3582803180207708","80.33841343575571","17.49088313507483","256","64","1","8","40","108","0","true","20260917-004117-491c8e","28","20260916-111910-8ecf06","11"
"deepseek_v32","4","7168","2048","256","8","2048","release_equivalent","valid","1.0774334932399074","7.14343989","deepgemm_m256","1.3680515430816762","78.75679090371685","11.429676249435072","256","64","1","8","40","108","0","true","20260917-004117-491c8e","29","20260916-151118-91f449","1"
"deepseek_v32","4","7168","2048","256","8","4096","release_equivalent","valid","1.0848598209936091","14.18908","cutlass_stock","1.2985417378962556","83.54447064221218","9.492089162933738","256","64","1","8","40","108","0","true","20260917-004117-491c8e","30","20260916-151118-91f449","2"
"deepseek_v32","4","7168","2048","256","8","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2853655727742301","","","256","64","1","8","40","108","0","true","20260917-004117-491c8e","31","20260916-151118-91f449","3"
"glm5/glm52/glm53","4","6144","2048","256","8","192","release_equivalent","valid","0.5269359722136967","1.1737200025","deepgemm_m256","1.0586414550993817","49.774734370687355","16.391642988975995","256","64","1","1","40","108","0","true","20260917-004236-2edc7e","0","20260916-112348-da320e","7"
"glm5/glm52/glm53","4","6144","2048","256","8","256","release_equivalent","valid","0.8518168879439514","0.96808801575","deepgemm_m256","1.3624724328564362","62.519935626008184","24.668832571487176","256","64","1","1","40","108","0","true","20260917-004236-2edc7e","1","20260916-112348-da320e","8"
"glm5/glm52/glm53","4","6144","2048","256","8","384","release_equivalent","valid","0.9385057609858285","1.3179999875","deepgemm_m128","1.3029419499496155","72.02974476507724","19.33960697400994","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","2","20260916-112348-da320e","9"
"glm5/glm52/glm53","4","6144","2048","256","8","512","release_equivalent","valid","0.9929125511754879","1.6610399775","deepgemm_m256","1.3865448680671952","71.61056046888554","19.081542545233532","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","3","20260916-112348-da320e","10"
"glm5/glm52/glm53","4","6144","2048","256","8","1024","release_equivalent","valid","1.046688747015734","3.1513999675","deepgemm_m256","1.3509151465947051","77.47997715875462","16.660026271324103","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","4","20260916-112348-da320e","11"
"glm5/glm52/glm53","4","6144","2048","256","8","2048","release_equivalent","valid","1.0569530719086304","6.2415919325","deepgemm_m256","1.3758525568519973","76.82168170163372","10.780583820231971","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","5","20260916-112348-da320e","12"
"glm5/glm52/glm53","4","6144","2048","256","8","4096","release_equivalent","valid","1.0790485598785349","12.2275679","cutlass_stock","1.339247686924267","80.57124685850242","9.41407264645","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","6","20260916-152142-36a5c8","0"
"glm5/glm52/glm53","4","6144","2048","256","8","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.290054362391893","","","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","7","20260916-152142-36a5c8","1"
"glm53_flash","4","4096","2048","288","8","192","release_equivalent","valid","0.5615532603829929","0.82602399575","deepgemm_m256","1.0131763759196972","55.425025072584276","33.89054079425631","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","8","20260916-112848-3a78f8","7"
"glm53_flash","4","4096","2048","288","8","256","release_equivalent","valid","0.9051140301629155","0.6833120137500001","deepgemm_m256","1.3539775639636031","66.84852498687684","59.46214402409955","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","9","20260916-112848-3a78f8","8"
"glm53_flash","4","4096","2048","288","8","384","release_equivalent","valid","1.0032192352279243","0.92473599325","deepgemm_m128","1.402345033660233","71.53868777995682","70.98501507905914","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","10","20260916-112848-3a78f8","9"
"glm53_flash","4","4096","2048","288","8","512","release_equivalent","valid","1.0507565361726612","1.1771999875","deepgemm_m256","1.4378598810917929","73.07781168320815","75.68536076798085","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","11","20260916-112848-3a78f8","10"
"glm53_flash","4","4096","2048","288","8","1024","release_equivalent","valid","1.133195250981519","2.1831199525000002","deepgemm_m256","1.3638725656136916","83.08659324572774","85.64403677676518","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","12","20260916-112848-3a78f8","11"
"glm53_flash","4","4096","2048","288","8","2048","release_equivalent","valid","1.1822864118340282","4.184943915","deepgemm_m256","1.3951493492865543","84.74264152713262","89.70901829875537","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","13","20260916-112848-3a78f8","12"
"glm53_flash","4","4096","2048","288","8","4096","release_equivalent","valid","1.1474133151919454","8.6242721075","deepgemm_m256","1.4035729221513196","81.74946218207553","82.59312355538408","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","14","20260916-152142-36a5c8","2"
"glm53_flash","4","4096","2048","288","8","8192","release_equivalent","valid","1.138069445893297","17.3901596","cutlass_stock","1.2818426122646354","88.78386745800766","81.20979148460484","256","64","1","8","20","128","0","true","20260917-004236-2edc7e","15","20260916-152142-36a5c8","3"
"glm47/glm45","4","5120","1536","160","8","192","release_equivalent","valid","0.5024455636270735","0.48083201025","deepgemm_m256","1.0074725424905373","49.87188657122065","64.41999828358975","256","64","0","1","20","128","0","true","20260917-004236-2edc7e","16","20260916-132640-a7cdcd","7"
"glm47/glm45","4","5120","1536","160","8","256","release_equivalent","valid","0.8170058778735463","0.394272007","deepgemm_m256","1.327180173076304","61.55953008096768","98.99967289587464","256","64","0","1","20","128","0","true","20260917-004236-2edc7e","17","20260916-132640-a7cdcd","8"
"glm47/glm45","4","5120","1536","160","8","384","release_equivalent","valid","0.9004812233458962","0.5365840045000001","deepgemm_m128","1.3592739597871721","66.24722094189819","106.69568570786568","256","64","0","8","20","128","0","true","20260917-004236-2edc7e","18","20260916-132640-a7cdcd","9"
"glm47/glm45","4","5120","1536","160","8","512","release_equivalent","valid","0.9860370925122954","0.6533680115","deepgemm_m256","1.4943798731985656","65.98302815747813","121.78863473483656","256","64","0","8","20","128","0","true","20260917-004236-2edc7e","19","20260916-132640-a7cdcd","10"
"glm47/glm45","4","5120","1536","160","8","1024","release_equivalent","valid","1.0064505310126355","1.2802320125","deepgemm_m128","1.5458864616386674","65.10507440150423","24.261852107060932","256","64","0","8","40","108","0","true","20260917-004236-2edc7e","20","20260916-132640-a7cdcd","11"
"glm47/glm45","4","5120","1536","160","8","2048","release_equivalent","valid","1.1731848788360701","2.1965680125000002","deepgemm_m256","1.386899003134533","84.59050559446311","149.54091877908562","256","64","0","8","20","128","0","true","20260917-004236-2edc7e","21","20260916-132640-a7cdcd","12"
"glm47/glm45","4","5120","1536","160","8","4096","release_equivalent","valid","1.1108554807327469","4.6396321075","deepgemm_m256","1.4035504597970936","79.1461021567646","26.6038318103867","256","64","0","8","40","108","0","true","20260917-004236-2edc7e","22","20260916-132640-a7cdcd","13"
"glm47/glm45","4","5120","1536","160","8","8192","release_equivalent","valid","1.1413678488315468","9.03120017","deepgemm_m256","1.3681725536197193","83.42279969086323","139.72618635912704","256","64","0","8","20","128","0","true","20260917-004236-2edc7e","23","20260916-132640-a7cdcd","14"
"glm45_air","4","4096","1408","128","8","192","release_equivalent","valid","0.4682508824573634","0.302687995","deepgemm_m256","0.9596327660052283","48.794799327935024","67.4859866840771","128","64","0","8","20","128","0","true","20260917-004236-2edc7e","24","20260916-134013-d36947","7"
"glm45_air","4","4096","1408","128","8","256","release_equivalent","valid","0.6870548661251827","0.27505599675000003","deepgemm_m256","1.2459030178357142","55.14513218843318","81.70845306247625","128","64","0","8","20","128","0","true","20260917-004236-2edc7e","25","20260916-134013-d36947","8"
"glm45_air","4","4096","1408","128","8","384","release_equivalent","valid","0.8439356071781999","0.335887998","deepgemm_m128","1.3498468580293006","62.52084095008361","117.70351839127038","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","26","20260916-134013-d36947","9"
"glm45_air","4","4096","1408","128","8","512","release_equivalent","valid","0.931516228584343","0.4057440015","deepgemm_m256","1.5061893514088696","61.84589126944863","129.17307441697324","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","27","20260916-134013-d36947","10"
"glm45_air","4","4096","1408","128","8","1024","release_equivalent","valid","0.9384456576447252","0.805496022","deepgemm_m256","1.5923370460559128","58.93511426925458","27.400754935075277","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","28","20260916-134013-d36947","11"
"glm45_air","4","4096","1408","128","8","2048","release_equivalent","valid","1.1168021680889408","1.3537119925","deepgemm_m256","1.5079079727002187","74.0630189844462","163.5514836070273","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","29","20260916-134013-d36947","12"
"glm45_air","4","4096","1408","128","8","4096","release_equivalent","valid","1.077608384099271","2.8058959275","deepgemm_m256","1.4308102526743136","75.31455565719658","32.27119397499465","256","64","1","4","40","108","0","true","20260917-004236-2edc7e","30","20260916-134013-d36947","13"
