operator,model,suite,aliases,global_seq,cp,local_tokens,hidden,projection_width,q_heads,kv_heads,head_dim,warmup,iterations,timing,qkv_pack_kernel,te_nccl_schema,te_nccl_numerical_contract,te_nccl_determinism_contract,transformer_engine_version,transformer_engine_path,torch_version,torch_cuda_version,nccl_version,device_names,device_sm_counts,cublas_workspace_config,eager_immediate_te_nccl_p50_ms,eager_immediate_te_nccl_p95_ms,eager_immediate_te_nccl_p50_tflops_per_gpu,eager_immediate_te_nccl_data_p50_ms,eager_immediate_te_nccl_weight_p50_ms,eager_immediate_fused_p50_ms,eager_immediate_fused_p95_ms,eager_immediate_fused_p50_tflops_per_gpu,eager_immediate_fused_speedup_over_te_nccl,eager_immediate_forward_p50_tflops_per_gpu,eager_immediate_cublas_p50_ms,eager_immediate_cublas_p50_tflops_per_gpu,eager_immediate_fused_throughput_as_forward_percent,eager_immediate_fused_throughput_as_cublas_percent,eager_immediate_te_nccl_throughput_as_forward_percent,eager_immediate_te_nccl_as_cublas_percent,eager_immediate_te_nccl_config,eager_immediate_te_nccl_beta,eager_deferred_te_nccl_p50_ms,eager_deferred_te_nccl_p95_ms,eager_deferred_te_nccl_p50_tflops_per_gpu,eager_deferred_te_nccl_data_p50_ms,eager_deferred_te_nccl_weight_p50_ms,eager_deferred_fused_p50_ms,eager_deferred_fused_p95_ms,eager_deferred_fused_p50_tflops_per_gpu,eager_deferred_fused_speedup_over_te_nccl,eager_deferred_forward_p50_tflops_per_gpu,eager_deferred_cublas_p50_ms,eager_deferred_cublas_p50_tflops_per_gpu,eager_deferred_fused_throughput_as_forward_percent,eager_deferred_fused_throughput_as_cublas_percent,eager_deferred_te_nccl_throughput_as_forward_percent,eager_deferred_te_nccl_as_cublas_percent,eager_deferred_te_nccl_config,eager_deferred_te_nccl_beta,graph_immediate_te_nccl_p50_ms,graph_immediate_te_nccl_p95_ms,graph_immediate_te_nccl_p50_tflops_per_gpu,graph_immediate_te_nccl_data_p50_ms,graph_immediate_te_nccl_weight_p50_ms,graph_immediate_fused_p50_ms,graph_immediate_fused_p95_ms,graph_immediate_fused_p50_tflops_per_gpu,graph_immediate_fused_speedup_over_te_nccl,graph_immediate_forward_p50_tflops_per_gpu,graph_immediate_cublas_p50_ms,graph_immediate_cublas_p50_tflops_per_gpu,graph_immediate_fused_throughput_as_forward_percent,graph_immediate_fused_throughput_as_cublas_percent,graph_immediate_te_nccl_throughput_as_forward_percent,graph_immediate_te_nccl_as_cublas_percent,graph_immediate_te_nccl_config,graph_immediate_te_nccl_beta,graph_deferred_te_nccl_p50_ms,graph_deferred_te_nccl_p95_ms,graph_deferred_te_nccl_p50_tflops_per_gpu,graph_deferred_te_nccl_data_p50_ms,graph_deferred_te_nccl_weight_p50_ms,graph_deferred_fused_p50_ms,graph_deferred_fused_p95_ms,graph_deferred_fused_p50_tflops_per_gpu,graph_deferred_fused_speedup_over_te_nccl,graph_deferred_forward_p50_tflops_per_gpu,graph_deferred_cublas_p50_ms,graph_deferred_cublas_p50_tflops_per_gpu,graph_deferred_fused_throughput_as_forward_percent,graph_deferred_fused_throughput_as_cublas_percent,graph_deferred_te_nccl_throughput_as_forward_percent,graph_deferred_te_nccl_as_cublas_percent,graph_deferred_te_nccl_config,graph_deferred_te_nccl_beta
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,1024,4,256,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.173567995429039,0.19258879870176315,111.35320647234032,,,0.07348799706,0.07445920259,263.00013070461006,2.3618550290236877,258.2213793676836,0.05655999854,341.71416780238127,101.85064123994239,76.96494775033946,43.12315531154512,32.58665193441369,ch8_chunk512_ll64_normal_eager_pb256_pw4,0,0.19127999246120453,0.21231520157307388,101.04220824830898,0.1363839954137802,0.054576000198721886,0.0815680027,0.08317120373,236.94772695470206,2.3450370994704337,258.2213793676836,0.05913599953,326.82888571444767,91.76146744120291,72.49901624721282,39.13007067646174,30.91593572808927,ch8_chunk512_ll64_normal_eager_pb512_pw4,1,0.09497600048780441,0.09690240025520325,203.49722806533393,,,0.06732799858,0.06817600131,287.06263723308194,1.410646424829526,269.5135019222841,0.05655999854,341.71416780238127,106.51141229869005,84.00665359567265,75.50539272203648,59.55188494935908,ch8_chunk512_ll64_normal_graph_pb512_pw4,0,0.10075200162827969,0.116979200579226,191.8309564042952,0.06905599683523178,0.031488001346588135,0.07524800301,0.07669280469,256.84871436962277,1.3389325642952992,269.5135019222841,0.05913599953,326.82888571444767,95.30087084233972,78.58813146461998,71.1767518273021,58.69461506896885,ch8_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,16384,4,4096,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.6783199906349182,0.7419168055057526,455.88755982637144,,,0.4528639913,0.4562944174,682.8488271374736,1.497844835681724,608.4289619816766,0.400496006,772.1366522491612,112.23147972992749,88.43626644952022,74.92864217730991,59.04234159826684,ch16_chunk512_ll64_normal_eager_pb512_pw4,0,0.7200799956917763,0.7634144097566604,429.44901561237975,0.48444800078868866,0.23371199518442154,0.467328012,0.4698735774,661.7143363364231,1.5408449251952314,608.4289619816766,0.4057280123,762.1796768701937,108.75786290336903,86.81868021641296,70.58326319865638,56.34485261741227,ch16_chunk512_ll64_normal_eager_pb512_pw4,1,0.6574240028858185,0.6699824094772339,470.37778352262023,,,0.4440320134,0.4456639886,696.4309688937398,1.4805779381802981,618.3565377243563,0.400496006,772.1366522491612,112.62611881758524,90.19529986889006,76.06902407043034,60.918981394349586,ch16_chunk512_ll64_hp_graph_pb512_pw4,0,0.667808011174202,0.6733135893940926,463.06369516033465,0.45601600408554077,0.2115039974451065,0.4569280148,0.4591616094,676.7754116528729,1.4615168900652882,618.3565377243563,0.4057280123,762.1796768701937,109.44744178552826,88.79473334056557,74.8861970255021,60.75518794490221,ch16_chunk512_ll64_hp_graph_pb512_pw4,1
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,131072,4,32768,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,4.9312639236450195,4.996257543563843,501.6768927401837,,,3.534512043,3.577225685,699.9272126955941,1.395175306704994,692.6000912798282,3.243808031,762.6533811044751,101.05791516749966,91.77527170756905,72.43384733218195,65.78045874702016,ch16_chunk512_ll64_hp_eager_pb512_pw4,0,5.0225600600242615,5.078172731399536,492.55780576649784,3.3027039766311646,1.7221919894218445,3.509680033,3.555334568,704.8794018927593,1.431059245515063,692.6000912798282,3.281824112,753.8189366852943,101.77292939569797,93.50778649741373,71.11720197095553,65.3416598861766,ch16_chunk512_ll64_hp_eager_pb512_pw4,1,4.92579197883606,4.962646460533142,502.23419363327855,,,3.552576065,4.220878124,696.368245811508,1.3865408899657325,677.5880597430133,3.243808031,762.6533811044751,102.77162293497577,91.30861582269878,74.12087424087126,65.85353268950865,ch16_chunk512_ll64_hp_graph_pb512_pw4,0,4.943343997001648,5.005759954452515,500.45094251917897,3.268463969230652,1.6721760034561157,3.525184155,3.552803278,701.7792698821434,1.4022938319378802,677.5880597430133,3.281824112,753.8189366852943,103.57019427826178,93.09652964782488,73.85769795131623,66.38874644351209,ch16_chunk512_ll64_hp_graph_pb512_pw4,1
oproj,representative_medium,artificial,Mx5120x5120 OProj stress shape,1024,4,256,5120,5120,40,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.18348800390958786,0.22396960183978082,146.29591596204253,,,0.08871999383,0.09022080153,302.5647820877447,2.068169709988672,309.5427405503785,0.07017600536,382.5174354438347,97.74572052627475,79.09829828715623,47.26194376321763,38.24555494896474,ch8_chunk512_ll64_hp_eager_pb256_pw4,0,0.20902400463819504,0.24726719558238983,128.4232672054302,0.13948799669742584,0.06916799768805504,0.1044159979,0.1068432033,257.0826898164424,2.0018388833325993,309.5427405503785,0.08001600206,335.4772159182781,83.05240476948025,76.63193731733706,41.4880565369063,38.2807717221291,ch8_chunk512_ll64_hp_eager_pb256_pw4,1,0.10534399747848511,0.10762879997491837,254.81798908839,,,0.08260799944,0.08389919996,324.95092221059116,1.275227558984754,325.64471330704845,0.07017600536,382.5174354438347,99.78694845391115,84.95061717475724,78.25030736738036,66.61604556475311,ch8_chunk512_ll64_normal_graph_pb512_pw4,0,0.11644800007343292,0.12015200108289718,230.51959314949397,0.06998400017619133,0.04641599953174591,0.0984160006,0.09942400455,272.75590794531837,1.1832222338186837,325.64471330704845,0.08001600206,335.4772159182781,83.75873975516944,81.30385462950828,70.78867972658854,68.71393412470917,ch8_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,representative_medium,artificial,Mx5120x5120 OProj stress shape,16384,4,4096,5120,5120,40,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,0.8050239980220795,0.8293152034282685,533.5204051745799,,,0.614463985,0.616273582,698.9778735363961,1.3101239741855326,600.4461252217492,0.5385600328,797.4909080553666,116.40975670852374,87.64712756924231,88.85400084437998,66.89987306257035,ch16_chunk512_ll64_normal_eager_pb512_pw4,0,0.8327840119600296,0.929267206788063,515.736041316574,0.5228480100631714,0.308896005153656,0.6278399825,0.6320480108,684.0862983746022,1.32642717121003,600.4461252217492,0.5535999537,775.8250822267004,113.92967156245102,88.17532637784821,85.89214246758755,66.47581434675413,ch16_chunk512_ll64_normal_eager_pb512_pw4,1,0.7701280117034912,0.7768607854843139,557.695244262017,,,0.616944015,0.6214848161,696.1680787194281,1.2482948095436037,606.1680291168158,0.5385600328,797.4909080553666,114.84737651600365,87.29479818359208,92.00340787926024,69.93123540704973,ch16_chunk512_ll64_normal_graph_pb512_pw4,0,0.7787840068340302,0.7827759966254234,551.4965970423835,0.49404799938201904,0.28463999927043915,0.6239359975,0.6254816055,688.3666454907501,1.2481793163953971,606.1680291168158,0.5535999537,775.8250822267004,113.56036815298513,88.72704186297571,90.98081234107838,71.08517237668185,ch16_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,representative_medium,artificial,Mx5120x5120 OProj stress shape,131072,4,32768,5120,5120,40,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132,:4096:8,6.065056085586548,6.152708888053894,566.519713637192,,,4.840352058,4.934127808,709.8603150407454,1.2530196177698254,726.5910972929123,4.550640106,755.0528621829889,97.69735931055287,94.01465123758567,77.96953688916582,75.0304703169107,ch16_chunk512_ll64_normal_eager_pb512_pw4,0,6.073296070098877,6.606393575668335,565.7510842780401,3.6260000467300415,2.4376320838928223,4.815055847,4.866865635,713.5896126606234,1.2613137340624654,726.5910972929123,4.607647896,745.7110253113838,98.21061878121972,95.69251203744138,77.86375120557906,75.86733534505562,ch16_chunk512_ll64_normal_eager_pb512_pw4,1,6.03438401222229,6.17044620513916,569.3992675707474,,,4.960975647,5.244103909,692.6004240471934,1.216370416144131,732.2298171465358,4.550640106,755.0528621829889,94.58784767140783,91.72873301145637,77.7623710803896,75.41184148676892,ch16_chunk512_ll64_normal_graph_pb512_pw4,0,6.05619204044342,6.498654437065122,567.348890830157,3.6170400381088257,2.435423970222473,5.023200035,5.176446438,684.0209055700088,1.205644210512397,732.2298171465358,4.607647896,745.7110253113838,93.4161501693014,91.72734240913023,77.48235288219868,76.08160152832006,ch16_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,1024,8,128,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132|132|132|132|132,:4096:8,0.17375999689102173,0.20123359858989714,55.61508165806906,,,0.06668800116,0.06745599955,144.90877291125577,2.6055661268678776,130.2241883579202,0.05265599862,183.52470125463552,111.27638784967895,78.95872976259407,42.7071824054771,30.303867151324038,ch16_chunk512_ll64_normal_eager_pb512_pw4,0,0.19176000356674194,0.22022720482200384,50.394640364285166,0.139055997133255,0.05262399837374687,0.07558399439,0.07659360021,127.85347604331604,2.5370451127165143,130.2241883579202,0.05471999943,176.60227552381755,98.17951461667913,72.39627896304938,38.698371631064326,28.53566875897285,ch16_chunk512_ll64_normal_eager_pb512_pw4,1,0.09040000289678574,0.10706239715218538,106.89907197274661,,,0.0613120012,0.06227200106,157.61476100701796,1.4744259056542708,140.4604082459687,0.05265599862,183.52470125463552,112.21294525287813,85.88204199735043,76.10619484000729,58.24778421757356,ch16_chunk512_ll64_hp_graph_pb512_pw4,0,0.09095999971032143,0.09381759790703655,106.2409459847815,0.06115199998021126,0.02977599948644638,0.06857600063,0.06971680373,140.91921849073864,1.326411556152038,140.4604082459687,0.05471999943,176.60227552381755,100.32664738092352,79.7946787903837,75.63764573340593,60.15831091058239,ch16_chunk512_ll64_hp_graph_pb512_pw4,1
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,16384,8,2048,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132|132|132|132|132,:4096:8,0.46427200734615326,0.4759264007210732,333.034988561606,,,0.3340960145,0.3366495967,462.797567003003,1.3896364733382753,434.9872417540599,0.2694399953,573.852528774892,106.39336573109584,80.64747366209603,76.56201299575189,58.034943101600824,ch16_chunk512_ll64_hp_eager_pb512_pw4,0,0.505855992436409,0.5291536085307598,305.6577859467329,0.33612801134586334,0.16870400309562683,0.3450720012,0.3474448025,448.07698717458277,1.4659433123443137,434.9872417540599,0.2756960094,560.8308331792633,103.00922513675097,79.89521272118789,70.26821860663918,54.50088830066744,ch16_chunk512_ll64_hp_eager_pb512_pw4,1,0.43697600066661835,0.440347196161747,353.83824837090583,,,0.3233280182,0.3257311881,478.2104053857712,1.3514943836272162,438.18248357132194,0.2694399953,573.852528774892,109.13498903201457,83.33332718890243,80.75134484770257,61.66013577152115,ch16_chunk512_ll64_normal_graph_pb512_pw4,0,0.4508640095591545,0.4551247902214527,342.9389336425036,0.3046880066394806,0.14604799449443817,0.3373759985,0.3390111923,458.29822910772356,1.3363843651111253,438.18248357132194,0.2756960094,560.8308331792633,104.59072333801481,81.71773055159998,78.26395314742979,61.148373690233086,ch16_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,nanbeige42_3b,model,Nanbeige4.2-3B,131072,8,16384,3072,6144,48,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132|132|132|132|132,:4096:8,2.940079927444458,2.971156871318817,420.72005243856336,,,2.083487988,2.095905542,593.692206709281,1.411133610742208,568.3094890463301,1.834543943,674.2550844681512,104.46635471555211,88.05157282241072,74.03009461351175,62.397757485273566,ch16_chunk512_ll64_hp_eager_pb512_pw4,0,3.0007360577583313,3.020110476016998,412.21572222251734,2.063632011413574,0.9373599886894226,2.094159842,2.102268696,590.666746845201,1.4329068858910587,568.3094890463301,1.829488039,676.1184303364554,103.93399340144545,87.36143260453183,72.53366874346038,60.967975982756045,ch16_chunk512_ll64_hp_eager_pb512_pw4,1,2.922208070755005,2.9744127869606016,423.2931233156206,,,2.053776026,2.076323032,602.2811473055923,1.4228465196598827,576.6863008618931,1.834543943,674.2550844681512,104.4382615653339,89.32541425040473,73.40093265315703,62.77937431491703,ch16_chunk512_ll64_normal_graph_pb512_pw4,0,2.9422880113124847,2.96576489508152,420.40431680793404,2.0324161052703857,0.9093599915504456,2.085247993,2.095088005,593.1911146301725,1.4110014833676836,576.6863008618931,1.829488039,676.1184303364554,102.86200898887522,87.73479438136067,72.90000060338072,62.179094363502124,ch16_chunk512_ll64_normal_graph_pb512_pw4,1
oproj,representative_medium,artificial,Mx5120x5120 OProj stress shape,1024,8,128,5120,5120,40,8,128,10,50,per-sample max-rank CUDA-event critical path,not_applicable,v10_backward_te_nccl_v2,complete_route_then_single_full_gemm,repeat_route_dgrad_wgrad_exact_at_s1k,2.19.0.dev0+a7aec214,/tmp/TransformerEngine-v10-clean/transformer_engine/__init__.py,2.9.0+cu128,12.8,2.27.5,NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X|NVIDIA L20X,132|132|132|132|132|132|132|132,:4096:8,0.19207999855279922,0.4530848070979112,69.87595221326808,,,0.08214399964,0.08305600286,163.39322237560333,2.338332676697007,176.30534175869323,0.06403200328,209.61038406543508,92.6762744371282,77.9509198001355,39.6334855859934,33.336111912974005,ch8_chunk512_ll64_normal_eager_pb512_pw4,0,0.2252959981560707,0.2758128054440021,59.57395120130918,0.16256000101566315,0.060735998675227165,0.09628800303,0.09746400267,139.39195307455114,2.3398137988787275,176.30534175869323,0.07332800329,183.03747815032042,79.06280756106361,76.15486974753598,33.790213391745816,32.54740603035613,ch8_chunk512_ll64_normal_eager_pb256_pw4,1,0.09851199761033058,0.10132959671318531,136.2450577145997,,,0.07617600262,0.07730080187,176.19423884650143,1.293215635135812,189.10296499645148,0.06403200328,209.61038406543508,93.1737050499487,84.05797242921801,72.04808116951332,64.9991928224641,ch16_chunk512_ll64_hp_graph_pb512_pw4,0,0.10982400178909302,0.11310079898685216,122.21165302076035,0.06558400020003319,0.044319998472929,0.08977600187,0.09107039869,149.50290189393127,1.2233113471473533,189.10296499645148,0.07332800329,183.03747815032042,79.05899407591875,81.6788470889832,64.6270422164209,66.76864992665242,ch16_chunk512_ll64_hp_graph_pb512_pw4,1
