model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,result_source,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,local_first,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu,correctness_scope,max_abs,remote_recv_mismatches,post_graph_max_abs
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,4,65536,5120,5120,24,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,6.201040029525757,6.316580843925475,554.0963806780612,same_head_geometry_s1k,,,
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,8,32768,5120,5120,24,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,3.4305760860443115,3.458305549621582,500.78671200117765,same_head_geometry_s1k,,,
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,4,131072,5120,5120,24,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,12.62656021118164,13.370887851715086,544.2454285779625,same_head_geometry_s1k,,,
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,8,65536,5120,5120,24,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,6.707376003265381,6.849777626991272,512.2679621848023,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,1024,4,256,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,False,512,4,False,False,120,0.14313600212335587,0.147832003980875,420.0867793707123,exact,0.001953125,0,0.001953125
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,1024,8,128,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.15476799756288528,0.16396959573030467,194.2570269398497,exact,0.001953125,0,0.001953125
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,4096,4,1024,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.3734399974346161,0.37629600018262865,644.0610813738858,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,4096,8,512,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,0.2998400032520294,0.3063919886946678,401.0775179551898,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,16384,4,4096,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,False,False,512,4,False,False,124,1.4808319807052612,1.7182384371757506,649.6838850318476,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,16384,8,2048,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,0.8318080008029938,0.8424671918153763,578.302128240684,same_head_geometry_s1k,,,
