id,model,global_seq,cp,direction,m,n,k,hidden,q_heads,kv_heads,head_dim,status,reason,tile,raster,max_swizzle_size,baseline_comm_ctas,comm_ctas,compute_ctas,model_top2_comm_ctas,baseline_p50_ms,fused_p50_ms,fused_p95_ms,baseline_pflops,fused_pflops,gain_pct,pure_pflops,pure_p50_ms,pure_retained_pct,baseline_half_drift,winner_half_drift,either_drift_gt_5pct,run_id,source_id,pure_run_id,baseline_sample_id,winner_sample_id,pure_sample_id
qwen25_72b-cp8-s524288,qwen25_72b,524288,8,oproj,65536,8192,8192,8192,64,8,128,blank,preflight_insufficient_free_memory,,,,,,,,,,,,,,1.4924578597467035,5.893696069717407,,,,,20260909-224728-b58736,,20260908-135227-2a9f00,,,20260908-135227-2a9f00:65536x8192x8192
qwen3_235b-cp4-s131072,qwen3_235b,131072,4,oproj,32768,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_m,8,16,32,116,32;24,2.0460479259490967,1.6842559576034546,1.685094380378723,1.0747662494425407,1.3056348387100338,21.4808186791537,1.4145777122670176,1.5545439720153809,92.2985586007579,0.003299969108853943,0.00436035143843008,0,20260909-224734-581f05,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s131072:comm16,qwen3_235b-cp4-s131072:comm32,20260908-135227-2a9f00:32768x4096x8192
qwen3_235b-cp8-s131072,qwen3_235b,131072,8,oproj,16384,4096,8192,4096,64,4,128,verified_quick,,m128n256k64e32,along_m,8,16,32,116,32;48,1.1946560144424438,0.9376000165939331,0.9421504139900208,0.920358341216029,1.1726872955594128,27.416381537868475,1.4389404092171432,0.7641119956970215,81.49658512942966,0.007017910790010399,0.002986366836322063,0,20260909-224748-a4da10,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp8-s131072:comm16,qwen3_235b-cp8-s131072:comm32,20260908-135227-2a9f00:16384x4096x8192
qwen3_235b-cp4-s262144,qwen3_235b,262144,4,oproj,65536,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_n,8,16,16,132,16;24,3.170912027359009,3.170912027359009,3.1734848976135255,1.3869973285783799,1.3869973285783799,0.0,1.4279594321144422,3.0799520015716553,97.13142386157232,0.0008023071678914123,0.0008023071678914123,0,20260909-224807-c20e64,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s262144:comm16,qwen3_235b-cp4-s262144:comm16,20260908-135227-2a9f00:65536x4096x8192
qwen3_235b-cp8-s262144,qwen3_235b,262144,8,oproj,32768,4096,8192,4096,64,4,128,verified_quick,,m128n256k64e32,along_m,4,24,32,116,48;32,2.3295040130615234,2.2286720275878906,2.2359488010406494,0.9439877515651752,0.9866966643503936,4.5243079387846885,1.4145777122670176,1.5545439720153809,69.75202958408717,0.0032281891641168527,0.0013352977322403903,0,20260909-224821-1991f5,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp8-s262144:comm24,qwen3_235b-cp8-s262144:comm32,20260908-135227-2a9f00:32768x4096x8192
qwen3_235b-cp4-s524288,qwen3_235b,524288,4,oproj,131072,4096,8192,4096,64,4,128,verified_quick,,m128n256,along_n,4,16,16,132,16;24,6.472896099090576,6.472896099090576,6.473977756500244,1.3589115115633985,1.3589115115633985,0.0,1.4821611967844002,5.934639930725098,91.68446148176082,0.0013891705618569675,0.0013891705618569675,0,20260909-224840-445fed,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp4-s524288:comm16,qwen3_235b-cp4-s524288:comm16,20260908-135227-2a9f00:131072x4096x8192
qwen3_235b-cp8-s524288,qwen3_235b,524288,8,oproj,65536,4096,8192,4096,64,4,128,verified_quick,,m128n256k64e32,along_m,8,24,32,116,48;32,3.7325119972229004,3.531359910964966,3.5372736930847166,1.1783074011218924,1.2454257345585051,5.696164971272166,1.4279594321144422,3.0799520015716553,87.21716503628878,0.009902211967967377,0.0001404305018560794,0,20260909-224854-396574,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,qwen3_235b-cp8-s524288:comm24,qwen3_235b-cp8-s524288:comm32,20260908-135227-2a9f00:65536x4096x8192
bloom_176b-cp4-s131072,bloom_176b,131072,4,oproj,32768,14336,14336,14336,112,112,128,verified_quick,,m128n256k64e32,along_m,4,8,24,124,24;32,12.86303997039795,10.401151657104492,10.526969528198242,1.0471099733229938,1.2949544323830724,23.66938195360191,1.4887998567452205,9.046895980834961,86.97975261860056,0.00320917861412565,0.008391404751596264,0,20260909-224912-0d33a0,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,bloom_176b-cp4-s131072:comm8,bloom_176b-cp4-s131072:comm24,20260908-135227-2a9f00:32768x14336x14336
bloom_176b-cp8-s131072,bloom_176b,131072,8,oproj,16384,14336,14336,14336,112,112,128,verified_quick,,m128n256,along_m,8,8,24,124,24;32,6.148736000061035,5.01145601272583,5.031596755981445,1.0952671768736129,1.3438227738658666,22.69360410322381,1.4910016967738284,4.516767978668213,90.12885610885475,0.007639919986562061,0.006165064271057876,0,20260909-224926-f97f59,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,bloom_176b-cp8-s131072:comm8,bloom_176b-cp8-s131072:comm24,20260908-135227-2a9f00:16384x14336x14336
bloom_176b-cp4-s262144,bloom_176b,262144,4,oproj,65536,14336,14336,14336,112,112,128,verified_quick,,m128n256k64e32,along_m,4,8,24,124,32;24,26.08745574951172,21.68182373046875,22.454694747924805,1.032604909392753,1.2424247708764864,20.319471617380035,1.4732319576252226,18.284992218017578,84.33327585964221,0.0009984763119144512,0.05005260602136614,1,20260909-224944-26ccb0,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,bloom_176b-cp4-s262144:comm8,bloom_176b-cp4-s262144:comm24,20260908-135227-2a9f00:65536x14336x14336
bloom_176b-cp8-s262144,bloom_176b,262144,8,oproj,32768,14336,14336,14336,112,112,128,verified_quick,,m128n256,along_m,4,8,24,124,24;32,12.901568412780762,10.612383842468262,10.892032051086426,1.043982949151601,1.2691792570069096,21.5708798729247,1.4887998567452205,9.046895980834961,85.24848059708708,0.01606006678604626,0.01881120151158921,0,20260909-224958-2f7d70,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,bloom_176b-cp8-s262144:comm8,bloom_176b-cp8-s262144:comm24,20260908-135227-2a9f00:32768x14336x14336
bloom_176b-cp4-s524288,bloom_176b,524288,4,oproj,131072,14336,14336,14336,112,112,128,blank,previously_missing_or_oom,,,,,,,,,,,,,,1.4646030904986944,36.78544044494629,,,,,,,20260908-135227-2a9f00,,,20260908-135227-2a9f00:131072x14336x14336
bloom_176b-cp8-s524288,bloom_176b,524288,8,oproj,65536,14336,14336,14336,112,112,128,blank,previously_missing_or_oom,,,,,,,,,,,,,,1.4732319576252226,18.284992218017578,,,,,,,20260908-135227-2a9f00,,,20260908-135227-2a9f00:65536x14336x14336
kimi_k3_kda-cp4-s131072,kimi_k3_kda,131072,4,oproj,32768,7168,12288,7168,96,96,128,verified_quick,,m128n256,along_m,4,16,32,116,32;24,5.123904228210449,4.789919853210449,4.791417503356934,1.1265698554713335,1.2051216351678657,6.972650591974872,1.4894056998142,3.875663995742798,80.91291951670401,0.001545701563969496,0.0014697581628620264,0,20260909-225016-5855c9,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,kimi_k3_kda-cp4-s131072:comm16,kimi_k3_kda-cp4-s131072:comm32,20260908-135227-2a9f00:32768x7168x12288
kimi_k3_kda-cp8-s131072,kimi_k3_kda,131072,8,oproj,16384,7168,12288,7168,96,96,128,verified_quick,,m128n256k64e32,along_m,4,16,32,116,32;24,2.694943904876709,2.5565121173858643,2.5663872718811036,1.070975176028401,1.1289670810804813,5.414869209866957,1.4440563249979446,1.998687982559204,78.18026634674989,0.0007184112693740139,0.008098546003283288,0,20260909-225031-f679e3,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,kimi_k3_kda-cp8-s131072:comm16,kimi_k3_kda-cp8-s131072:comm32,20260908-135227-2a9f00:16384x7168x12288
kimi_k3_kda-cp4-s262144,kimi_k3_kda,262144,4,oproj,65536,7168,12288,7168,96,96,128,verified_quick,,m128n256,along_m,4,16,32,116,32;24,10.231072425842285,9.371040344238281,9.603360366821288,1.1284127030991626,1.2319733634213073,9.177551798000616,1.486916515910211,7.764304161071777,82.85423897300373,0.0046571806991704085,0.028974385747235362,0,20260909-225049-9737c4,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,kimi_k3_kda-cp4-s262144:comm16,kimi_k3_kda-cp4-s262144:comm32,20260908-135227-2a9f00:65536x7168x12288
kimi_k3_kda-cp8-s262144,kimi_k3_kda,262144,8,oproj,32768,7168,12288,7168,96,96,128,verified_quick,,m128n256,along_m,4,16,24,124,32;24,5.340640068054199,5.013855934143066,5.036627101898193,1.0808509789589922,1.151296750773232,6.517621132386697,1.4894056998142,3.875663995742798,77.2990697508982,0.0018185050286005507,0.010026564416046003,0,20260909-225103-d69180,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,kimi_k3_kda-cp8-s262144:comm16,kimi_k3_kda-cp8-s262144:comm24,20260908-135227-2a9f00:32768x7168x12288
kimi_k3_kda-cp4-s524288,kimi_k3_kda,524288,4,oproj,131072,7168,12288,7168,96,96,128,verified_quick,,m128n256k64e32,along_m,4,16,24,124,32;24,22.05936050415039,19.106687545776367,19.586899185180663,1.0467095897431726,1.2084640065410035,15.453609901244914,1.4756923037430445,15.646719932556152,81.89132676749583,0.08304569520722828,0.026471121718424737,1,20260909-225121-8dd069,6a1e7b71debfd8070943f32d0170d6a35d0ceaeac69ac7efee6dd91f68907c68,20260908-135227-2a9f00,kimi_k3_kda-cp4-s524288:comm16,kimi_k3_kda-cp4-s524288:comm24,20260908-135227-2a9f00:131072x7168x12288
kimi_k3_kda-cp8-s524288,kimi_k3_kda,524288,8,oproj,65536,7168,12288,7168,96,96,128,blank,preflight_insufficient_free_memory,,,,,,,,,,,,,,1.486916515910211,7.764304161071777,,,,,20260909-225135-35e33e,,20260908-135227-2a9f00,,,20260908-135227-2a9f00:65536x7168x12288
