id,model,global_seq,cp,backend,launch,weight_mode,mnk,b_mnk,w_mnk,p50_ms,p95_ms,b_ms,w_ms,tflops_per_gpu,p50_us,p95_us,b_us,w_us,config,gemm_plan,source
gemm_a2a/artificial_small/s4096/cp4,artificial_small,4096,4,teub,eager,,"[1024, 4096, 4096]",,,0.1725120022892952,0.18453279957175256,,,199.1730309313795,172.5120022892952,184.53279957175255,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 8, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 4, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 23, ""tune_ms"": 0.04471466317772865, ""valid"": 8, ""waves"": 0.9696969985961914, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp4.json
gemm_a2a/artificial_small/s4096/cp4,artificial_small,4096,4,teub,graph,,"[1024, 4096, 4096]",,,0.12508799880743027,0.13730399832129478,,,274.684531654359,125.08799880743027,137.30399832129478,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 124, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""peer_gemm"", ""sms"": 8, ""streams"": 1, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 9, ""cta_swizzle"": 0, ""custom"": 0, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 135, ""tune_ms"": 0.01720000058412552, ""valid"": 8, ""waves"": 0.8387096524238586, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp4.json
gemm_a2a/artificial_small/s4096/cp8,artificial_small,4096,8,cublaslt_nccl,eager,,"[512, 4096, 4096]",,,0.19038400053977966,0.38358080238103853,,,90.23798814654262,190.38400053977966,383.58080238103855,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1"", ""NCCL_MAX_P2P_NCHANNELS"": ""32"", ""NCCL_MIN_P2P_NCHANNELS"": ""32"", ""NCCL_P2P_LL_THRESHOLD"": ""65536"", ""NCCL_P2P_NVL_CHUNKSIZE"": ""524288""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 0, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 1, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 20, ""tune_ms"": 0.025418667122721672, ""valid"": 8, ""waves"": 0.9696969985961914, ""workspace_bytes"": 0}",full_v2/cublaslt_nccl_formal_ch32_chunk512_ll64_cp8.json
gemm_a2a/artificial_small/s4096/cp8,artificial_small,4096,8,cublaslt_nccl,graph,,"[512, 4096, 4096]",,,0.10892800241708755,0.12340640090405941,,,157.7176557247229,108.92800241708755,123.40640090405941,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1"", ""NCCL_MAX_P2P_NCHANNELS"": ""32"", ""NCCL_MIN_P2P_NCHANNELS"": ""32"", ""NCCL_P2P_LL_THRESHOLD"": ""65536"", ""NCCL_P2P_NVL_CHUNKSIZE"": ""524288""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 0, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 1, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 20, ""tune_ms"": 0.025418667122721672, ""valid"": 8, ""waves"": 0.9696969985961914, ""workspace_bytes"": 0}",full_v2/cublaslt_nccl_formal_ch32_chunk512_ll64_cp8.json
gemm_a2a/artificial_small/s4096/cp8,artificial_small,4096,8,teub,eager,,"[512, 4096, 4096]",,,0.23393599689006805,0.2552016079425811,,,73.43833104946742,233.93599689006805,255.20160794258115,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 16, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 1, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 20, ""tune_ms"": 0.02566399984061718, ""valid"": 8, ""waves"": 0.9696969985961914, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp8.json
gemm_a2a/artificial_small/s4096/cp8,artificial_small,4096,8,teub,graph,,"[512, 4096, 4096]",,,0.10822400078177452,0.12028800211846827,,,158.7436156480844,108.22400078177452,120.28800211846827,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 16, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 1, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 20, ""tune_ms"": 0.02566399984061718, ""valid"": 8, ""waves"": 0.9696969985961914, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp8.json
gemm_a2a/artificial_small/s16384/cp4,artificial_small,16384,4,cublaslt_nccl,eager,,"[4096, 4096, 4096]",,,0.36767999827861786,0.3773615941405296,,,373.8004626725779,367.67999827861786,377.36159414052963,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1"", ""NCCL_MAX_P2P_NCHANNELS"": ""24"", ""NCCL_MIN_P2P_NCHANNELS"": ""24"", ""NCCL_P2P_LL_THRESHOLD"": ""65536"", ""NCCL_P2P_NVL_CHUNKSIZE"": ""131072""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 0, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 4, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 23, ""tune_ms"": 0.16662399470806122, ""valid"": 8, ""waves"": 3.8787879943847656, ""workspace_bytes"": 4}",full_v2/cublaslt_nccl_formal_ch24_chunk128_ll64_cp4.json
gemm_a2a/artificial_small/s16384/cp4,artificial_small,16384,4,cublaslt_nccl,graph,,"[4096, 4096, 4096]",,,0.342303991317749,0.3792960047721863,,,401.5113961800701,342.303991317749,379.2960047721863,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1"", ""NCCL_MAX_P2P_NCHANNELS"": ""24"", ""NCCL_MIN_P2P_NCHANNELS"": ""24"", ""NCCL_P2P_LL_THRESHOLD"": ""65536"", ""NCCL_P2P_NVL_CHUNKSIZE"": ""131072""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 0, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""full"", ""sms"": 0, ""streams"": 3, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 3, ""cta_swizzle"": 0, ""custom"": 4, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 23, ""tune_ms"": 0.16662399470806122, ""valid"": 8, ""waves"": 3.8787879943847656, ""workspace_bytes"": 4}",full_v2/cublaslt_nccl_formal_ch24_chunk128_ll64_cp4.json
gemm_a2a/artificial_small/s16384/cp4,artificial_small,16384,4,teub,eager,,"[4096, 4096, 4096]",,,0.3379199951887131,0.37123519629240026,,,406.7203936696511,337.9199951887131,371.23519629240025,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 124, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""peer_gemm"", ""sms"": 8, ""streams"": 1, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 7, ""cta_swizzle"": 0, ""custom"": 3, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 29, ""tune_ms"": 0.05323199927806854, ""valid"": 8, ""waves"": 1.6774193048477173, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp4.json
gemm_a2a/artificial_small/s16384/cp4,artificial_small,16384,4,teub,graph,,"[4096, 4096, 4096]",,,0.30748799443244934,0.3097567975521088,,,446.97339720752365,307.48799443244934,309.75679755210876,,,"{""nccl_environment"": {""NCCL_GRAPH_REGISTER"": ""1"", ""NCCL_IB_DISABLE"": ""1"", ""NCCL_LOCAL_REGISTER"": ""1""}, ""operator"": {""chunks"": 1, ""local_first"": false, ""math_sms"": 124, ""pack_block"": 1024, ""pack_warps"": 4, ""push"": true, ""reverse"": false, ""schedule"": ""peer_gemm"", ""sms"": 8, ""streams"": 1, ""use_ce"": false}}","{""algo_id"": 66, ""cluster_shape"": 7, ""cta_swizzle"": 0, ""custom"": 3, ""inner_shape"": 0, ""reduction"": 0, ""returned"": 8, ""split_k"": 1, ""stages_id"": 35, ""tile_id"": 29, ""tune_ms"": 0.05323199927806854, ""valid"": 8, ""waves"": 1.6774193048477173, ""workspace_bytes"": 0}",full_v2/teub_formal_auto_cp4.json
