model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,waves,last_wave_ctas,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,4,m64n128,64,128,64,1,1,128,0.04023168005,0.04009599984,0.04193279892,214.23420356837272,0.02329600044,368.7300150136845,0.02230400033,385.1297733548769,58.10055998843,55.62649745361731,0.02872000076,0.02872000076,0.02094399929,0.04664000124,0.4525954827
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,4,m128n128,128,128,64,1,2,128,0.09244351983,0.09251199663,0.09411840141,371.4084618173482,0.05060800165,678.9388485565702,0.04910400137,699.7339811291228,54.70425835949229,53.07852295782842,0.05889600143,0.05588800088,0.06403200328,0.1191039979,0.5198205429
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,4,m128n256_cluster_m2,128,256,64,2,4,128,0.2974624008,0.2976160049,0.300830394,461.79960489080537,0.1765439957,778.4969006000581,0.1750880033,784.9707054829382,59.31938900910904,58.83017056116662,0.1748320013,0.1738560051,0.2446720004,0.4199199975,0.6984553154
representative_medium,tens-of-B median-like O-proj,1024,4,256,5120,5120,4,m128n128,128,128,64,1,1,80,0.04383999996,0.04366400093,0.04560640082,307.3876079637579,0.03174399957,422.8129089531738,0.0306560006,437.81878057504997,72.70062040556117,70.2088675958628,0.03476800025,0.03470399976,0.02635199949,0.05815999955,0.6586089604
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,4,m128n160,128,160,64,1,2,128,0.1116,0.1118720025,0.1140223965,479.8974721132752,0.07419200242,723.6236986309932,0.07324799895,732.9495954783348,66.31865056674926,65.47482597354954,0.07750400156,0.07446400076,0.07435199618,0.1528960019,0.5434004941
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,4,m128n256_cluster_m2,128,256,64,2,5,128,0.3643699205,0.3644800186,0.3713200092,589.1910498272784,0.2771679759,774.795010508283,0.2601920068,825.3457415587296,76.04476562655663,71.38717996103613,0.2615839839,0.2605919838,0.2944000065,0.5495840311,0.7300997197
representative_large,hundreds-of-B median-like O-proj,1024,4,256,7168,16384,4,m128n128,128,128,64,1,1,112,0.1334220804,0.1339039952,0.1397311985,449.04964974487933,0.09556800127,629.18070216956,0.09529600292,630.9765394302857,71.37053762082223,71.16740824473922,0.1030880064,0.1028480008,0.06404800713,0.1681120098,0.5280692052
representative_large,hundreds-of-B median-like O-proj,4096,4,1024,7168,16384,4,m128n256_cluster_m2,128,256,64,2,2,96,0.3828748786,0.3822880089,0.3885855973,629.1543626180423,0.3264960051,736.6649662446359,0.3043040037,790.3877886967151,85.40576672531881,79.60071899079648,0.3367199898,0.3515839875,0.2465440035,0.574895978,0.7960561955
representative_large,hundreds-of-B median-like O-proj,16384,4,4096,7168,16384,4,m128n256_cluster_m2,128,256,64,2,7,128,1.472941444,1.494767904,1.526118398,643.6267943200365,1.19748807,803.4089845287562,1.240319967,775.6649089758627,80.11197369140191,80.11197369140191,1.309135914,1.274303913,0.9619840384,2.078783989,0.8224951434
