model,aliases,global_seq,cp,m,n,k,q_heads,head_dim,a2a_input,gemm_input,gemm_weight,gemm_output,payload_mib_per_gpu,gemm_gflop_per_gpu
representative_small,single-digit-B median-like O-proj,1024,4,256,4096,4096,32,128,"[1,1024,8,128]","[256,4096]","[4096,4096]","[256,4096]",2.0,8.589934592
representative_small,single-digit-B median-like O-proj,4096,4,1024,4096,4096,32,128,"[1,4096,8,128]","[1024,4096]","[4096,4096]","[1024,4096]",8.0,34.359738368
representative_small,single-digit-B median-like O-proj,16384,4,4096,4096,4096,32,128,"[1,16384,8,128]","[4096,4096]","[4096,4096]","[4096,4096]",32.0,137.438953472
representative_medium,tens-of-B median-like O-proj,1024,4,256,5120,5120,40,128,"[1,1024,10,128]","[256,5120]","[5120,5120]","[256,5120]",2.5,13.4217728
representative_medium,tens-of-B median-like O-proj,4096,4,1024,5120,5120,40,128,"[1,4096,10,128]","[1024,5120]","[5120,5120]","[1024,5120]",10.0,53.6870912
representative_medium,tens-of-B median-like O-proj,16384,4,4096,5120,5120,40,128,"[1,16384,10,128]","[4096,5120]","[5120,5120]","[4096,5120]",40.0,214.7483648
representative_large,hundreds-of-B median-like O-proj,1024,4,256,7168,16384,128,128,"[1,1024,32,128]","[256,16384]","[7168,16384]","[256,7168]",8.0,60.129542144
representative_large,hundreds-of-B median-like O-proj,4096,4,1024,7168,16384,128,128,"[1,4096,32,128]","[1024,16384]","[7168,16384]","[1024,7168]",32.0,240.518168576
representative_large,hundreds-of-B median-like O-proj,16384,4,4096,7168,16384,128,128,"[1,16384,32,128]","[4096,16384]","[7168,16384]","[4096,7168]",128.0,962.072674304
