model,seq,cp,node,tile,comm_ctas,old_ms,new_ms,old_p,new_p,ratio,gain,before_run,after_run
artificial_small,1024,4,09,m128n256k64e32,32,0.041728001087903976,0.042047999799251556,0.20585540567602295,0.20428878027517727,0.992389680534738,-0.7610319465262028,20260907-215311-830f05,20260907-215327-8681f4
artificial_small,1024,8,09,m128n256k64e32,16,0.04265600070357323,0.043455999344587326,0.1006884664562615,0.09883485274248931,0.9815906053691125,-1.8409394630887532,20260907-215406-c42fef,20260907-215343-720959
artificial_small,4096,4,0a,m128n256k64e32,16,0.05081599950790405,0.05048000067472458,0.6761598453387815,0.680660418160493,1.00665607822283,0.6656078222829986,20260907-220350-ed845b,20260907-220404-d47015
artificial_small,4096,8,0a,m128n256k64e32,16,0.04479999840259552,0.04612799920141697,0.3834792365306127,0.372439071310777,0.9712105267557182,-2.8789473244281827,20260907-220441-e0dded,20260907-220418-1d646b
artificial_small,16384,4,0a,m128n256k64e32,16,0.11740799993276596,0.11711999773979187,1.1706097842626126,1.1734883548866797,1.0024590351650617,0.24590351650617404,20260907-214959-d5fd96,20260907-215013-b92811
artificial_small,16384,8,0a,m128n256k64e32,16,0.07715199887752533,0.07692799717187881,0.8907024799848478,0.893296059462738,1.002911835922961,0.2911835922960959,20260907-215050-862286,20260907-215027-919f99
artificial_small,131072,4,0a,m128n256k64e32,24,0.9064799845218658,0.9090079963207245,1.2129463932465658,1.2095731085164847,0.997218933376724,-0.27810666232760406,20260907-214253-9ef2f4,20260907-214307-35bf5a
artificial_small,131072,8,0a,m128n256k64e32,12,0.4415840059518814,0.4372960031032562,1.2449631473924032,1.257170909376433,1.0098057215666174,0.9805721566617409,20260907-214345-242ff9,20260907-214321-9b4eef
artificial_small,262144,4,0a,m128n256k64e32,16,1.7688640356063843,1.7678239941596985,1.2431838803247266,1.2439152669139235,1.0005883173042802,0.0588317304280217,20260907-213720-227809,20260907-213706-9d1588
artificial_small,262144,8,0a,m128n256k64e32,24,0.9103040099143982,0.9104959964752197,1.2078510209785787,1.2075963343414047,0.9997891406864338,-0.02108593135662362,20260907-213734-960926,20260907-213758-6cb8c7
artificial_small,524288,4,09,m128n256k64e32,24,3.6665440797805786,3.67083203792572,1.1995073331744037,1.1981061693003006,0.9988318838615224,-0.11681161384775596,20260907-213654-7cc34b,20260907-213635-4de562
artificial_small,524288,8,0a,m128n256k64e32,16,1.7875360250473022,1.7622399926185608,1.2301980070548837,1.2478568553448903,1.0143544764247197,1.4354476424719653,20260907-220627-fc68f3,20260907-220651-345f3b
artificial_medium,1024,4,09,m128n256k64e32,24,0.04678399860858917,0.04612800106406212,0.28688810702759954,0.290968012712278,1.0142212437000253,1.422124370002531,20260907-215150-a1f315,20260907-215206-11679b
artificial_medium,1024,8,09,m128n256k64e32,16,0.04670400172472,0.04598399996757507,0.1436897514597339,0.14593959648425714,1.0156576582648884,1.5657658264888408,20260907-215248-bf6010,20260907-215225-50f8aa
artificial_medium,4096,4,0a,m128n256k64e32,24,0.07705599814653397,0.07702399790287018,0.6967282559614068,0.6970177173574035,1.0004154580979312,0.04154580979311984,20260907-220233-216999,20260907-220247-9b2587
artificial_medium,4096,8,0a,m128n256k64e32,32,0.05408000014722347,0.05451200157403946,0.496367335926832,0.49243368111406577,0.9920751134733288,-0.7924886526671227,20260907-220327-bb420e,20260907-220303-01aa0c
artificial_medium,16384,4,0a,m128n256k64e32,16,0.1751519963145256,0.17747199535369873,1.2260686107988745,1.210040853893653,0.9869275203980808,-1.3072479601919151,20260907-214845-ea061c,20260907-214859-8c7e23
artificial_medium,16384,8,0a,m128n256k64e32,12,0.10784000158309937,0.10817599669098854,0.9956804601607836,0.9925878723976173,0.9968939957276385,-0.3106004272361518,20260907-214936-a3851e,20260907-214913-f806fd
artificial_medium,131072,4,0a,m128n256k64e32,12,1.3414239883422852,1.3427200317382812,1.280718798329428,1.2794826008336968,0.9990347627462456,-0.0965237253754414,20260907-214139-3c1104,20260907-214153-353a43
artificial_medium,131072,8,0a,m128n256k64e32,12,0.6877120137214661,0.6802240014076233,1.2490598419993657,1.2628096883121438,1.0110081565754037,1.100815657540366,20260907-214230-18db20,20260907-214206-01f12b
artificial_medium,262144,4,0a,m128n256k64e32,16,2.7163360118865967,2.7138400077819824,1.2649296043509684,1.2660929999363582,1.0009197314865492,0.09197314865492245,20260907-213604-696646,20260907-213548-bdfe9e
artificial_medium,262144,8,0a,m128n256k64e32,12,1.3490239977836609,1.353983998298645,1.2735036005456655,1.2688384209553027,0.9963367362382298,-0.36632637617701747,20260907-213620-dfb61a,20260907-213643-2ad1fa
artificial_medium,524288,4,09,m128n256k64e32,12,5.647968053817749,5.666687965393066,1.2167114983865572,1.212692090259346,0.9966964986091273,-0.3303501390872654,20260907-213559-1e6422,20260907-213617-4bc06c
artificial_medium,524288,8,09,m128n256k64e32,16,2.7411519289016724,2.7366080284118652,1.2534780726935955,1.255559364412885,1.00166041334478,0.1660413344779954,20260907-220343-f02fdb,20260907-220320-e651e0
artificial_large,1024,4,09,m128n256k64e32,32,0.1143839992582798,0.11580800265073776,0.5256814111581036,0.5192175045565984,0.9877037565637621,-1.229624343623792,20260907-215030-014e5b,20260907-215045-6c0fb7
artificial_large,1024,8,09,m128n256k64e32,16,0.11523199826478958,0.1141279973089695,0.26090644547285113,0.2634302868787584,1.0096733578249981,0.9673357824998119,20260907-215127-cd1c43,20260907-215104-aeb84c
artificial_large,4096,4,0a,m128n256k64e32,32,0.21379200369119644,0.212351992726326,1.125010123968,1.1326390936485058,1.0067812453576845,0.678124535768454,20260907-215727-db21a0,20260907-215741-9ead62
artificial_large,4096,8,0a,m128n256k64e32,32,0.12391999736428261,0.12380799651145935,0.9704574471098415,0.9713353553610661,1.0009046334322427,0.09046334322426741,20260907-220759-ae8ba0,20260907-220823-efec54
artificial_large,16384,4,0a,m128n256k64e32,12,0.7506400048732758,0.748879998922348,1.2816698657919499,1.2846820260768617,1.0023501842130387,0.23501842130386752,20260907-214731-a6809e,20260907-214745-05011b
artificial_large,16384,8,0a,m128n256k64e32,12,0.39961598813533783,0.40457598865032196,1.2037464752013063,1.188988844238513,0.9877402499057573,-1.2259750094242738,20260907-214822-73c701,20260907-214759-0e8e90
