model,suite,aliases,global_seq,cp,m,n,k,native_max_context,beyond_native_context,result_source,launch,timing,timed_boundary,correctness_scope,self_pack_mismatches,remote_recv_mismatches,post_graph_max_abs,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
representative_medium,artificial,tens-of-B median-like O-proj,16384,8,2048,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,False,1024,4,False,128,0.2799680083990097,0.28334079682826996,383.5230425576718
representative_medium,artificial,tens-of-B median-like O-proj,131072,4,32768,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,True,512,4,False,124,2.7995519638061523,2.838547241687775,613.6649508960347
representative_medium,artificial,tens-of-B median-like O-proj,131072,8,16384,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,False,1024,4,False,120,1.5952479839324951,1.614467203617096,538.4701738236764
representative_medium,artificial,tens-of-B median-like O-proj,262144,4,65536,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,5.719760179519653,5.797926449775696,600.7199128912698
representative_medium,artificial,tens-of-B median-like O-proj,262144,8,32768,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,False,1024,4,False,120,3.012735962867737,3.0760112047195434,570.241448163515
representative_medium,artificial,tens-of-B median-like O-proj,524288,4,131072,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,11.256192207336426,11.372284889221191,610.5037606874805
representative_medium,artificial,tens-of-B median-like O-proj,524288,8,65536,5120,5120,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,6.004479885101318,6.149176025390625,572.235048255478
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,1024,4,256,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,1024,4,False,124,0.12019199877977371,0.12169279865920543,500.2790764314903
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,1024,8,128,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,0.11585600301623344,0.11693439967930316,259.50119363074697
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,4096,4,1024,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,0.38940800726413727,0.3922735959291458,617.6508034999275
