model,aliases,global_seq,cp,m,n,k,q_heads,head_dim,a2a_input,gemm_input,gemm_weight,gemm_output,payload_mib_per_gpu,gemm_gflop_per_gpu
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,32,128,"[1,1024,4,128]","[128,4096]","[4096,4096]","[128,4096]",1.0,4.294967296
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,32,128,"[1,4096,4,128]","[512,4096]","[4096,4096]","[512,4096]",4.0,17.179869184
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,32,128,"[1,16384,4,128]","[2048,4096]","[4096,4096]","[2048,4096]",16.0,68.719476736
representative_medium,tens-of-B median-like O-proj,1024,8,128,5120,5120,40,128,"[1,1024,5,128]","[128,5120]","[5120,5120]","[128,5120]",1.25,6.7108864
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,40,128,"[1,4096,5,128]","[512,5120]","[5120,5120]","[512,5120]",5.0,26.8435456
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,40,128,"[1,16384,5,128]","[2048,5120]","[5120,5120]","[2048,5120]",20.0,107.3741824
representative_large,hundreds-of-B median-like O-proj,1024,8,128,7168,16384,128,128,"[1,1024,16,128]","[128,16384]","[7168,16384]","[128,7168]",4.0,30.064771072
representative_large,hundreds-of-B median-like O-proj,4096,8,512,7168,16384,128,128,"[1,4096,16,128]","[512,16384]","[7168,16384]","[512,7168]",16.0,120.259084288
representative_large,hundreds-of-B median-like O-proj,16384,8,2048,7168,16384,128,128,"[1,16384,16,128]","[2048,16384]","[7168,16384]","[2048,7168]",64.0,481.036337152
