model,aliases,global_seq,cp,m,n,k,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,waves,last_wave_ctas,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,cublas_p50_ms,cublas_p50_tflops_per_gpu,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,4,m64n128,64,128,64,1,1,64,0.03226367977,0.03209599853,0.03417279944,133.81628529131166,0.02256000042,190.37975248406488,0.02252800018,190.65018029487604,70.28913713001718,70.18943548038602,0.02345599979,0.02337599918,0.02137599885,0.04102399945,0.6035984878
representative_small,single-digit-B median-like O-proj,4096,8,512,4096,4096,4,m128n128,128,128,64,1,1,128,0.06327552021,0.0632160008,0.06476800144,271.76456856789963,0.03863999993,444.61359252388587,0.03788800165,453.4382505233025,61.12376525090148,59.93419572659839,0.0377760008,0.03766399994,0.04571200162,0.08124800026,0.5377420767
representative_small,single-digit-B median-like O-proj,16384,8,2048,4096,4096,4,m128n256_cluster_m2,128,256,64,2,2,128,0.1972473603,0.196480006,0.2007087916,349.7530264529817,0.1175360009,584.6674738786353,0.1164000034,590.3734942330767,59.820845536822716,59.24267093110735,0.1180319935,0.1173759997,0.1536960006,0.2793120146,0.6360306691
representative_medium,tens-of-B median-like O-proj,1024,8,128,5120,5120,4,m64n128,64,128,64,1,1,80,0.03869888,0.03875200078,0.03985599801,173.17522359938394,0.02919999883,229.82488592106563,0.02823999897,237.6376290639787,75.35094509254395,72.87365400904598,0.03209599853,0.03220799938,0.02223999985,0.04915200174,0.7107506842
representative_medium,tens-of-B median-like O-proj,4096,8,512,5120,5120,4,m128n160,128,160,64,1,1,128,0.08296959996,0.08276799321,0.08490559459,324.32277936100513,0.05585600063,480.58481268317763,0.05516799912,486.5781980167636,67.48502466198673,66.65378364318566,0.05145600066,0.0513439998,0.06007999927,0.1087680012,0.5575430733
representative_medium,tens-of-B median-like O-proj,16384,8,2048,5120,5120,4,m128n256_cluster_m2,128,256,64,2,3,64,0.2820345587,0.2818560004,0.2862640023,380.9540412395634,0.1785279959,601.4417058719696,0.177136004,606.1680289457133,63.34014377790057,62.84627744260009,0.2075679898,0.2078720033,0.2098879963,0.416960001,0.6522346435
representative_large,hundreds-of-B median-like O-proj,1024,8,128,7168,16384,4,m64n128,64,128,64,1,1,112,0.1082182401,0.108160004,0.110686399,277.96569859594314,0.09236800671,325.48901013304106,0.07572799921,397.00997498465404,85.3994113295336,70.01478957970453,0.1047680005,0.1048160046,0.04523200169,0.1496800035,0.9254283186
representative_large,hundreds-of-B median-like O-proj,4096,8,512,7168,16384,4,m128n128,128,128,64,1,2,96,0.2654060781,0.2650880218,0.2712303996,453.6571794961427,0.1973920017,609.2399046176753,0.1973440051,609.3880795976609,74.46281441148088,74.44470850097082,0.2287359983,0.2272160053,0.1544480026,0.3804479837,0.762158312
representative_large,hundreds-of-B median-like O-proj,16384,8,2048,7168,16384,4,m128n256_cluster_m2,128,256,64,2,4,64,0.8386886358,0.8355200291,0.8611664176,575.7328614493654,0.6952959895,691.8439692107557,0.7018240094,685.4087787097014,83.21715402190351,83.21715402190351,0.811439991,0.8095520139,0.5696480274,1.392944098,0.9538121576
