aliases,cp,cublaslt_mean_ms,cublaslt_nccl_cuda_graph,cublaslt_nccl_high_priority,cublaslt_nccl_mean_ms,cublaslt_nccl_nccl_channels,cublaslt_nccl_nccl_chunk_kib,cublaslt_nccl_nccl_ll_kib,cublaslt_nccl_p50_ms,cublaslt_nccl_p95_ms,cublaslt_nccl_tflops,cublaslt_p50_ms,cublaslt_p95_ms,cublaslt_plans,cublaslt_tflops,global_seq,k,m,model,n,te_mean_ms,te_nccl_cuda_graph,te_nccl_high_priority,te_nccl_inverse_a2a_cuda_graph,te_nccl_inverse_a2a_high_priority,te_nccl_inverse_a2a_mean_ms,te_nccl_inverse_a2a_nccl_channels,te_nccl_inverse_a2a_nccl_chunk_kib,te_nccl_inverse_a2a_nccl_ll_kib,te_nccl_inverse_a2a_p50_ms,te_nccl_inverse_a2a_p95_ms,te_nccl_mean_ms,te_nccl_nccl_channels,te_nccl_nccl_chunk_kib,te_nccl_nccl_ll_kib,te_nccl_p50_ms,te_nccl_p95_ms,te_nccl_tflops,te_p50_ms,te_p95_ms,te_tflops
single-digit-B median-like O-proj,4,1.6234547019004821,True,True,3.28449471950531,8,128,128,3.2811039686203003,3.293406367301941,334.7582266600817,1.626800000667572,1.6399023652076723,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 1.4315913915634155, 'waves': 28.5}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 1.4648724794387817, 'waves': 28.5}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 1.4510111808776855, 'waves': 28.5}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 1.4057695865631104, 'waves': 28.5}]",677.2665886451077,131072,4096,32768,representative_small,4096,1.541228802204132,True,True,True,True,1.8724396753311157,8,128,128,1.864192008972168,1.9133759796619414,3.2881139135360717,8,128,128,3.2878719568252563,3.2995279073715214,334.3897616349836,1.5532000064849854,1.6533455967903137,713.3993513510607
single-digit-B median-like O-proj,4,3.2584870576858522,True,True,6.40816252708435,8,256,128,6.406031847000122,6.4280671119689945,343.159719538595,3.2647520303726196,3.295779204368591,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 29, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 1, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 3.064159870147705, 'waves': 99.39393615722656}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 3.0428576469421387, 'waves': 57.0}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 2.808882236480713, 'waves': 57.0}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 3.057440996170044, 'waves': 57.0}]",674.8602086250808,262144,4096,65536,representative_small,4096,3.2442412853240965,True,True,True,True,3.5859731149673464,8,256,128,3.5845279693603516,3.6074031352996827,6.411000967025757,8,256,128,6.407727956771851,6.4418721199035645,343.0077872180057,3.279423952102661,3.320008075237274,677.8235840532803
single-digit-B median-like O-proj,4,6.79128830909729,True,True,12.658321895599364,8,512,128,12.64518404006958,12.75102095603943,347.4430929610796,6.517519950866699,7.731673407554627,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 248, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 6.171566963195801, 'waves': 100.8484878540039}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 29, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 1, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 6.197877407073975, 'waves': 198.78787231445312}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 29, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 1, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 6.185771465301514, 'waves': 198.78787231445312}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 29, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 1, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 6.2907328605651855, 'waves': 198.78787231445312}]",647.6012077432472,524288,4096,131072,representative_small,4096,6.499636449813843,True,True,True,True,7.027645444869995,8,512,128,7.030080080032349,7.058337569236755,12.828583030700683,8,512,128,12.815392017364502,12.96583342552185,342.8318233259924,6.52022385597229,6.540815925598144,676.6603863251406
tens-of-B median-like O-proj,4,2.446239366531372,True,True,3.790586233139038,16,512,128,3.7891520261764526,3.8131215810775756,453.22459712974546,2.4441280364990234,2.470799958705902,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 2.254258155822754, 'waves': 38.787879943847656}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 2.1246912479400635, 'waves': 38.787879943847656}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 2.1887733936309814, 'waves': 38.787879943847656}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 2.1024820804595947, 'waves': 38.787879943847656}]",702.2971430780331,131072,5120,32768,representative_medium,5120,2.3380358266830443,True,True,True,True,1.599614074230194,16,512,128,1.58433598279953,1.700579160451889,3.7839443111419677,16,512,128,3.7832798957824707,3.8051695108413695,454.0201380187658,2.4327999353408813,2.4370367884635926,734.7992271090629
tens-of-B median-like O-proj,4,5.043904628753662,True,False,7.637696027755737,24,1024,16,7.728208065032959,7.9655455350875854,449.8704614995823,5.0576958656311035,5.079052615165711,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 4.745621204376221, 'waves': 69.95454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 4.73859977722168, 'waves': 69.95454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 4.81268835067749, 'waves': 69.95454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 4.834731578826904, 'waves': 69.95454406738281}]",681.2130858328743,262144,5120,65536,representative_medium,5120,4.997091836929322,True,False,True,False,2.631534080505371,24,1024,16,2.6262240409851074,2.6446112155914308,7.225858564376831,24,1024,16,7.2122719287872314,7.356414556503296,475.5108069426105,5.0128960609436035,5.058910608291626,687.5946948598372
tens-of-B median-like O-proj,4,10.254918994903564,True,True,18.066016654968262,8,256,128,18.073023796081543,18.248110485076904,380.37979289198614,10.075712203979492,11.134107017517088,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 248, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 9.774226188659668, 'waves': 124.1212158203125}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 248, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 9.87851619720459, 'waves': 124.1212158203125}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 248, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 9.751200675964355, 'waves': 124.1212158203125}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 6, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 9.978934288024902, 'waves': 139.7045440673828}]",670.1123311666513,524288,5120,131072,representative_medium,5120,10.046063327789307,True,True,True,True,8.872446689605713,8,256,128,8.865407943725586,8.926086282730104,18.216136322021484,8,256,128,18.20412826538086,18.532073307037354,377.2450728364666,10.019055843353271,10.31044969558716,684.0438338260217
hundreds-of-B median-like O-proj,4,11.182329025268555,True,False,17.81975860595703,8,1024,16,17.81702423095703,18.063420677185057,431.9127752863657,11.187760353088379,11.58131217956543,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 10.73846435546875, 'waves': 54.30303192138672}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 10.858549118041992, 'waves': 54.30303192138672}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 10.877527236938477, 'waves': 54.30303192138672}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 11.02452564239502, 'waves': 54.30303192138672}]",688.2807129928069,131072,16384,32768,representative_large,7168,11.257188491821289,True,False,True,False,7.031349096298218,8,1024,16,7.0373759269714355,7.057736086845398,17.827612228393555,8,1024,16,17.855631828308105,18.043186855316165,431.72250415980346,11.18716812133789,11.521513652801513,683.7036974217688
hundreds-of-B median-like O-proj,4,23.178858795166015,True,True,32.222656631469725,16,512,16,32.126991271972656,33.42681617736816,477.7124048124114,23.11422348022461,23.728051090240477,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 22.06540298461914, 'waves': 98.45454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 22.206514358520508, 'waves': 98.45454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 22.049219131469727, 'waves': 98.45454406738281}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 209, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 4, 'inner_shape': 0, 'cluster_shape': 3, 'workspace_bytes': 4, 'tune_ms': 22.650827407836914, 'waves': 98.45454406738281}]",664.1035663099284,262144,16384,65536,representative_large,7168,23.34679229736328,True,True,True,True,8.887183284759521,16,512,16,8.889023780822754,8.915389251708984,32.29253002166748,16,512,16,32.20355224609375,33.87138366699219,476.67874825959973,22.810144424438477,26.37573223114013,659.3266686405764
hundreds-of-B median-like O-proj,4,46.108857040405276,True,False,61.50968734741211,24,1024,64,61.40481758117676,64.80537986755371,500.51182025758203,45.34195327758789,48.9578821182251,"[{'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 45.05855941772461, 'waves': 217.21212768554688}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 45.04248809814453, 'waves': 217.21212768554688}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 44.77167510986328, 'waves': 217.21212768554688}, {'returned': 8, 'valid': 8, 'algo_id': 66, 'tile_id': 24, 'stages_id': 35, 'split_k': 1, 'reduction': 0, 'cta_swizzle': 0, 'custom': 7, 'inner_shape': 0, 'cluster_shape': 5, 'workspace_bytes': 4, 'tune_ms': 46.084693908691406, 'waves': 217.21212768554688}]",667.6878923880046,524288,16384,131072,representative_large,7168,46.714941787719724,True,False,True,True,16.286505546569824,24,1024,64,16.278624534606934,16.33281478881836,61.720338592529295,24,1024,64,61.42502403259277,64.84266929626465,498.80357560861495,46.619951248168945,48.18116817474365,659.0252368851504
