model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,precision,accumulator,output,quantization_in_timing,requested_comm_ctas,comm_ctas,tile_m,tile_n,tile_k,cluster_m,qkv_policy_model,launch,graph_epoch_mode,warmup,iterations,process_model,timing,correctness,fp8_graph_p50_ms,fp8_graph_p95_ms,fp8_graph_tflops_per_gpu,bf16_graph_p50_ms,fp8_speedup_over_bf16_graph,reaches_1_5x
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,1024,4,256,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02958399989,0.0303856004,453.68350628397735,0.04369600117,1.47701464752811,False
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,1024,8,128,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02500800043,0.02547520027,268.34957951894114,0.0357280001,1.4286628073286545,False
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,4096,4,1024,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.06881600618,0.06968159974,780.1541266369376,0.1008159965,1.4650079552175488,False
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,4096,8,512,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.04326400161,0.04414880276,620.4591485082464,0.07719999552,1.7843933211706442,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,16384,4,4096,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.1809920073,0.1825775951,1186.5074486082017,0.3358559906,1.8556399015085125,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,16384,8,2048,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.123999998,0.1251119971,865.9208397729168,0.2231040001,1.7992258362778362,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,4,32768,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,6,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.283776045,1.31896162,1338.229456057501,2.577983856,2.0081258456571374,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,8,16384,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,10,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.7421599627,0.7516784072,1157.4236045756986,1.394576073,1.8790774807178914,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,4,65536,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,6,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,2.693808079,2.724489689,1275.5080302808758,5.05209589,1.8754475975420817,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,8,32768,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,6,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.400320053,1.407257557,1226.8530431449874,2.655776024,1.8965493055036613,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,4,131072,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,6,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,5.362735748,5.424301147,1281.4257491920705,9.913536072,1.8485967867607858,True
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,8,65536,5120,5120,24,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,6,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,2.759232044,2.779918432,1245.2645453547798,5.284128189,1.915072057999048,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,1024,4,256,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02566399984,0.02598400041,334.7075532089,0.04073600098,1.5872818435927796,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,1024,8,128,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.02308800071,0.0235439986,186.02595131330452,0.03067200072,1.3284823188139965,False
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,4096,4,1024,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,64,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.04513600096,0.0459231995,761.2490614409984,0.08278399706,1.8341012783424047,True
