model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,comm_ctas,tile_m,tile_n,tile_k,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,fused_throughput_as_best_pure_percent,cublas_p50_ms,cublaslt_p50_ms,cutlass_p50_ms,compute_subgrid_p50_ms,qkv_route_p50_ms,sequential_p50_ms,overlap_ratio
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,4,32768,5120,5120,24,8,128,,True,32,128,256,64,2.75921607,2.794699192,622.6358772982937,76.68902533609845,2.116015911,2.129904032,2.278448105,2.627808094,0.7783679962,2.751503944,0.3921406459
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,8,16384,5120,5120,24,8,128,,True,32,128,256,64,1.770112038,1.788792014,485.27632192736945,72.47721965947107,1.28292799,1.285871983,1.28619194,1.646991968,0.5034880042,1.758816004,0.03747172
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,4,65536,5120,5120,24,8,128,,True,32,128,256,64,5.52441597,5.531398296,621.9614626159297,78.55280807176437,4.339583874,4.380368233,4.536463737,5.560863972,1.544143915,5.63092804,0.3788720452
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,8,32768,5120,5120,24,8,128,,True,32,128,256,64,3.397920132,3.439975977,505.5995584536594,71.71304758024843,2.439296007,2.436752081,2.494607925,3.31515193,0.9822720289,3.400239944,0.0776486027
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,4,131072,5120,5120,24,8,128,,True,32,128,256,64,10.94166374,11.04442215,628.0532683962741,79.08296630764492,8.851743698,8.652992249,9.128383636,10.79454422,3.041647911,11.31478405,0.401920573
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,524288,8,65536,5120,5120,24,8,128,,True,32,128,256,64,6.648591995,6.698430538,516.7972165210297,74.10892893872034,4.946175575,4.927200317,4.96691227,6.605616093,2.034240007,6.757264137,0.1856447736
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,1024,4,256,7168,16384,40,8,128,,True,24,128,128,64,0.2119199932,0.2149039954,283.7369954388995,42.18950814405745,0.09030400217,0.08940800279,0.1035680026,0.1773599982,0.01883199997,0.1190560013,-4.762188274
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,1024,8,128,7168,16384,40,8,128,,True,24,128,128,64,0.1951839924,0.1990015954,154.0329752574525,38.421184103210294,0.09297600389,0.07499200106,0.1117600054,0.1115199998,0.01788800023,0.1241279989,-3.553712002
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,4096,4,1024,7168,16384,40,8,128,,True,24,128,128,64,0.59651196,0.6106832027,403.2076214800455,51.10509692043727,0.3422880173,0.3048480153,0.4579359889,0.4625279903,0.04601600021,0.4990879893,-2.000498563
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,4096,8,512,7168,16384,40,8,128,,True,24,128,128,64,0.3991360068,0.4055888057,301.29851038034684,49.00184294773578,0.1960479915,0.1955839992,0.2247520089,0.3187040091,0.03428800032,0.2579039931,-4.021183581
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,16384,4,4096,7168,16384,40,8,128,,True,32,128,256,64,1.457184076,1.569001555,660.2272768069968,82.28472680619657,1.199039936,1.262000084,1.255663991,1.532271981,0.143968001,1.429120064,-0.5661494744
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,16384,8,2048,7168,16384,40,8,128,,True,24,128,256,64,1.092880011,1.117022395,440.154758354346,63.674697624239,0.7010079622,0.6958880424,0.8249759674,1.002511978,0.100383997,0.9033600092,-1.740006115
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,131072,4,32768,7168,16384,40,8,128,,True,32,128,256,64,12.44513607,12.5514946,618.4409194998863,79.29819073484828,10.14889526,9.868767738,10.74423981,12.40630341,1.080960035,11.64222336,-0.5064631553
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,131072,8,16384,7168,16384,40,8,128,,True,32,128,256,64,7.198831558,7.256887913,534.5715712627597,76.34372000123412,5.495855808,5.496848106,5.551456451,7.108927727,0.7140319943,6.184463978,-0.9247492124
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,262144,4,65536,7168,16384,40,8,128,,True,32,128,256,64,25.34515381,31.91272736,607.3414627608448,77.5811248469989,20.06991959,19.66305542,21.84329605,25.07758331,2.146736145,23.19203186,-0.9069369933
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,262144,8,32768,7168,16384,40,8,128,,True,32,128,256,64,14.3319521,14.376194,537.0225452003848,75.85713358614979,10.87180805,10.95076752,10.96281624,14.24300766,1.401759982,12.11456013,-1.226998527
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,524288,4,131072,7168,16384,40,8,128,,True,32,128,256,64,52.27404785,59.05802155,588.9409151185141,77.10949485998145,41.33179474,40.30825424,44.14039993,51.15966034,4.247583866,48.03376007,-1.122335709
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,524288,8,65536,7168,16384,40,8,128,,True,32,128,256,64,28.60507202,28.90163803,538.1270418791975,74.539730349541,21.68921661,21.32214355,21.87116814,28.45931244,2.770960093,24.16156769,-1.40923498
production_qwen_dense,model,current production Qwen dense,1024,4,256,4096,2048,16,8,128,,True,24,128,128,64,0.06151999906,0.06424799562,69.81416387557404,25.955787977868024,0.01684799977,0.01596800052,0.0196480006,0.01961600035,0.01559999958,0.02849600092,-1.667215278
production_qwen_dense,model,current production Qwen dense,1024,8,128,4096,2048,16,8,128,,True,24,128,128,64,0.1103359982,0.1124719977,19.463127927726493,14.675174579605155,0.01689600013,0.01619200036,0.02310400084,0.0231999997,0.0156159997,0.03067200072,-4.485876158
production_qwen_dense,model,current production Qwen dense,4096,4,1024,4096,2048,16,8,128,,True,24,128,128,64,0.08068799973,0.1792687923,212.91727693693815,37.47769109556534,0.03193600103,0.03023999929,0.03027199954,0.03867200017,0.03025599942,0.05419199914,-1.23718926
production_qwen_dense,model,current production Qwen dense,4096,8,512,4096,2048,16,8,128,,True,24,128,128,64,0.1221919954,0.1269152015,70.29866861475281,20.060234141982104,0.02576000057,0.02492799982,0.02451200038,0.03619199991,0.02470399998,0.04108799994,-2.927671002
production_qwen_dense,model,current production Qwen dense,16384,4,4096,4096,2048,16,8,128,,True,32,128,256,64,0.1924000084,0.198673591,357.1698219115047,49.58004131771129,0.09912000597,0.09539200366,0.09622400254,0.1352799982,0.08596800268,0.178384006,-0.1148912216
production_qwen_dense,model,current production Qwen dense,16384,8,2048,4096,2048,16,8,128,,True,24,128,256,64,0.1796320081,0.1819600016,191.27848500625876,36.216264750424514,0.06761600077,0.06505600363,0.06604799628,0.09246399999,0.06243199855,0.1201599985,-0.806447628
production_qwen_dense,model,current production Qwen dense,131072,4,32768,4096,2048,16,8,128,,True,32,128,256,64,0.947856009,0.9650447965,579.9992917363041,77.33157636182692,0.7329919934,0.7401599884,0.7408000231,0.9110720158,0.6105279922,1.278624058,0.6559451611
production_qwen_dense,model,current production Qwen dense,131072,8,16384,4096,2048,16,8,128,,True,32,128,256,64,0.6836960316,0.6919295788,402.04695396684525,60.16006603657461,0.4515520036,0.4113119841,0.4477599859,0.5724320412,0.4079679847,0.8232640028,0.4191508168
production_qwen_dense,model,current production Qwen dense,262144,4,65536,4096,2048,16,8,128,,True,32,128,256,64,1.866976023,1.966747165,588.9264855202696,78.01107566768145,1.456448078,1.480799913,1.467952013,1.763424039,1.212880015,2.515743971,0.6622284002
production_qwen_dense,model,current production Qwen dense,262144,8,32768,4096,2048,16,8,128,,True,32,128,256,64,1.238463998,1.254793525,443.9013284001817,69.50028534458859,0.8607360125,0.8613120317,0.8701759577,1.097903967,0.8070399761,1.616656065,0.54414596
