model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,comm_ctas,qkv_policy_request,qkv_policy_model,raster,swizzle,tile_m,tile_n,tile_k,cluster_m,warmup,iterations,process_model,timing,eager_epoch_mode,graph_epoch_mode,graph_kernel_nodes,correctness_scope,eager_p50_ms,eager_p95_ms,eager_p50_tflops_per_gpu,graph_p50_ms,graph_p95_ms,graph_p50_tflops_per_gpu,serial_diagnostic_p50_ms,best_separated,best_separated_p50_ms,eager_speedup_over_best_separated,graph_speedup_over_best_separated,te_boundary_p50_ms,cublas_boundary_p50_ms,cublaslt_boundary_p50_ms,te_userbuffers_p50_ms,te_userbuffers_p95_ms,te_userbuffers_launch,te_userbuffers_timing,te_userbuffers_timed_boundary,eager_speedup_over_te_userbuffers,graph_speedup_over_te_userbuffers,best_external_p50_ms,eager_speedup_over_best_external,graph_speedup_over_best_external
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,524288,4,131072,4096,4096,16,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,7.153855801,7.2179842,614.7798660533834,7.194272041,7.259251118,611.3261336295916,,TE+NCCL,9.476272106170654,1.3246384005735783,1.3171967993656044,9.476272106170654,9.720479965209961,9.877439975738525,8.506896018981934,8.608606624603272,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.1891343990736856,1.1824540371147099,8.506896018981934,1.1891343990736856,1.1824540371147099
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,524288,8,65536,4096,4096,16,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,4.269392014,4.297035217,515.0670747359485,4.261231899,4.278628826,516.0534107679174,,cuBLASLt+NCCL,5.219071865081787,1.2224391313722514,1.22478006097405,5.437727928161621,5.440927982330322,5.219071865081787,4.486304044723511,4.619204807281494,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.0508063045071108,1.0528185630489457,4.486304044723511,1.0508063045071108,1.0528185630489457
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,1024,4,256,5120,5120,24,8,128,,True,24,wave_time_model,calibrated_wave_time_v1,n,1,128,128,64,1,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.05238400027,0.05359840021,256.21893575940913,0.04704000056,0.047814399,285.3267993243408,,cuBLAS+NCCL,0.06136000156402588,1.1713500543631903,1.3044217864275016,0.061535999178886414,0.06136000156402588,0.06379200145602226,0.06276800110936165,0.06880640238523483,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.198228481708918,1.3343537491948032,0.06136000156402588,1.1713500543631903,1.3044217864275016
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,1024,8,128,5120,5120,24,8,128,,True,24,wave_time_model,calibrated_wave_time_v1,n,1,128,128,64,1,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.06569600105,0.06738400459,102.15060723243217,0.05836800113,0.05904319882,114.97543637057561,,cuBLASLt+NCCL,0.05689600110054016,0.8660496863003531,0.9747807017379038,0.05708799883723259,0.057023998349905014,0.05689600110054016,0.10233599692583084,0.10529600046575069,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.5577203374668853,1.7532893870719202,0.05689600110054016,0.8660496863003531,0.9747807017379038
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,4096,4,1024,5120,5120,24,8,128,,True,24,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.1282079965,0.1302143931,418.74994279315484,0.1220320016,0.1227696016,439.94272400756887,,TE+NCCL,0.13875200599431992,1.0822414340927629,1.1370132766413619,0.13875200599431992,0.15558400005102158,0.15518400073051453,0.11737599968910217,0.11842400021851063,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,0.9155123150926251,0.9618460580023968,0.11737599968910217,0.9155123150926251,0.9618460580023968
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,4096,8,512,5120,5120,24,8,128,,True,24,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.1077760011,0.1269104034,249.067930949611,0.1005920023,0.1017583981,266.8556643294892,,TE+NCCL,0.10507200285792351,0.974910942932763,1.0445363493666484,0.10507200285792351,0.10619199648499489,0.12091199681162834,0.14294399321079254,0.14648160040378572,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.3263063367712251,1.4210274171149742,0.10507200285792351,0.974910942932763,1.0445363493666484
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,16384,4,4096,5120,5120,24,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.382799983,0.4003088176,560.9936633670122,0.374992013,0.3772543967,572.6745033366883,,cuBLASLt+NCCL,0.45153599977493286,1.179561180322552,1.2041216455853763,0.4578399956226349,0.4556320011615753,0.45153599977493286,0.3973439931869507,0.40117440074682237,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.0379937587064905,1.0596065500385756,0.3973439931869507,1.0379937587064905,1.0596065500385756
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,16384,8,2048,5120,5120,24,8,128,,True,24,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,0.2431359887,0.2668400109,441.6219210249725,0.2338080108,0.2348895967,459.24081913449993,,cuBLASLt+NCCL,0.29447999596595764,1.2111740328549627,1.2594948948000615,0.2956160008907318,0.2945439964532852,0.29447999596595764,0.29025599360466003,0.34478240460157394,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.193801029442829,1.241428780012785,0.29025599360466003,1.193801029442829,1.241428780012785
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,4,32768,5120,5120,24,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,2.744992018,2.790728092,625.8622637641491,2.765759945,2.771939039,621.1627012336387,,cuBLAS+NCCL,3.3258559703826904,1.2116086125474084,1.2025107155070505,3.3556480407714844,3.3258559703826904,3.4005439281463623,3.090767979621887,3.11220166683197,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.1259661082270904,1.1175112956601472,3.090767979621887,1.1259661082270904,1.1175112956601472
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,131072,8,16384,5120,5120,24,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,1.708431959,1.711732864,502.79641204019407,1.702672005,1.705462456,504.49731755588476,,cuBLASLt+NCCL,1.9751999974250793,1.156147885796533,1.1600590082087356,1.9833920001983643,1.9865599870681763,1.9751999974250793,1.848800003528595,1.8627728044986724,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.082161916832062,1.0858227527671103,1.848800003528595,1.082161916832062,1.0858227527671103
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,4,65536,5120,5120,24,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,5.455311775,5.517131329,629.8400492059869,5.495632172,5.55431366,625.2190338185538,,TE+NCCL,6.936944007873535,1.271594419161045,1.262264975304744,6.936944007873535,7.593087911605835,7.0299999713897705,6.201040029525757,6.316580843925475,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.1366976417265824,1.128357909599514,6.201040029525757,1.1366976417265824,1.128357909599514
artificial_medium,artificial,OProj-matched Mx5120x5120 stress shape,262144,8,32768,5120,5120,24,8,128,,True,32,wave_time_model,calibrated_wave_time_v1,n,1,128,256,64,2,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,eager_monotonic_epochs,single_replay_monotonic_epoch_nodes,60,epoch_lifecycle_all_cases;fused_vs_separated_reference_at_s1024_per_geometry,3.351264,3.359582424,512.6384905516247,3.35345602,3.359710217,512.3033992853736,,cuBLASLt+NCCL,3.819200038909912,1.1396297155073167,1.1388847851685595,3.829327940940857,3.837488055229187,3.819200038909912,3.4305760860443115,3.458305549621582,graph,per_sample_local_cuda_event_then_dist_max,all_qkv_slab_gemms+userbuffers_send_recv+unpack,1.023666319945045,1.0229971902372859,3.4305760860443115,1.023666319945045,1.0229971902372859
