models,ep,h,f,experts,topk,target_rows,copy_method,status,fused_pflops,fused_ms,reference_backend,reference_pflops,reference_ms,strong_retention_pct,matched_gemm_pflops,matched_gemm_ms,transport_ms,ideal_overlap_ms,overlap_attainment_pct,ideal_strong_retention_pct,v25_1_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,run,case_index
deepseek_v41_flash,4,5120,2304,384,6,1,cp.async,valid,0.005946555792917645,0.7617599965,cutlass_stock,0.006757498019561628,0.67034401,87.9993715973506,0.006384024425097519,0.709559992,0.09827199955,0.709559992,93.14744739290073,94.47319713031396,5.8076031759696,256,64,1,2,40,108,20260921-091009-fb0e1a,0
deepseek_v41_flash,4,5120,2304,384,6,8,cp.async,valid,0.04536244543883294,0.7988719790000001,cutlass_stock,0.052929300735083014,0.68466399625,85.70384420129973,0.04798720588061479,0.75517600775,0.12904800449999998,0.75517600775,94.53029116070674,90.66283743440337,6.1366548131236875,256,64,1,2,40,108,20260921-091009-fb0e1a,1
deepseek_v41_flash,4,5120,2304,384,6,16,cp.async,valid,0.09286091534192184,0.7804960015,cutlass_stock,0.10608544047767926,0.6832000017500001,87.53408094813925,0.09981816825292081,0.72609600425,0.15264,0.72609600425,93.0300735499668,94.0922409366089,6.157111139281057,256,64,1,2,40,108,20260921-091009-fb0e1a,2
deepseek_v41_flash,4,5120,2304,384,6,32,cp.async,valid,0.18287639552452792,0.7926400005,cutlass_stock,0.21000687758610187,0.6902399955,87.08114592558971,0.19716209332624504,0.7352079895000001,0.14752800375,0.7352079895000001,92.75433854413458,93.88363638015116,8.462857187081884,256,64,1,2,40,108,20260921-091009-fb0e1a,3
deepseek_v41_flash,4,5120,2304,384,6,64,cp.async,valid,0.3629286322107892,0.7988079935,cutlass_stock,0.41268134410065715,0.702503994,87.94403657904807,0.3975643710934585,0.72921598,0.23410399975,0.72921598,91.2880173876227,96.33688965510602,14.486587445497312,256,64,1,2,40,108,20260921-091009-fb0e1a,4
deepseek_v41_flash,4,5120,2304,384,6,96,cp.async,valid,0.5255196823203523,0.827496007,deepgemm_m128,0.6083463696415663,0.714831978,86.3849459034308,0.5858004539585562,0.742343977,0.320528008,0.742343977,89.709674816594,96.29390149952008,18.904260736813463,256,64,1,2,40,108,20260921-091009-fb0e1a,5
deepseek_v41_flash,4,5120,2304,384,6,128,cp.async,valid,0.6788768714379544,0.8540879935000001,deepgemm_m128,0.8123284883081225,0.71377600725,83.57171774830715,0.7681533379516879,0.75482401275,0.411767997,0.75482401275,88.37778056764122,94.56191048421306,24.389056289900868,256,64,1,2,40,108,20260921-091009-fb0e1a,6
deepseek_v41_flash,4,5120,2304,384,6,192,tma,valid,0.5444502007236716,1.5974479874999998,deepgemm_m256,1.0233283719955475,0.84990400075,53.20386062021942,0.758683844309523,1.146367995,0.284751996,1.146367995,71.76246137403582,74.13884585551432,0.13822046271787514,256,64,1,2,40,108,20260921-091009-fb0e1a,7
deepseek_v41_flash,4,5120,2304,384,6,256,tma,valid,0.884315020657776,1.31134397,deepgemm_m256,1.3861755425838576,0.836575985,63.795312605890885,0.9711977682540333,1.1940319549999998,0.34627199924999996,1.1940319549999998,91.05406226865098,70.06311527064618,-0.4264321663827064,256,64,1,2,40,108,20260921-091009-fb0e1a,8
deepseek_v41_flash,4,5120,2304,384,6,384,tma,valid,0.9612197810018556,1.80963999,cutlass_stock,1.2327305642975153,1.4110640275000002,77.97484777621433,1.0408409725684684,1.671207995,0.47776799675,1.671207995,92.35030195149479,84.43377674841724,-0.8554176568567051,256,64,0,1,40,108,20260921-091009-fb0e1a,9
