id,m,n,k,operand_layout,p50_ms,p95_ms,pflops,algorithm,tile,split_k,workspace_bytes,sms,half_drift,run_id,source_id,library_sha256
"llama3_8b.oproj.dgrad.s65536.cp8",8192,4096,4096,"nn",0.1974240019917488,0.20007359609007835,1.3923226364111914,66,23,1,0,148,0.0012967113761628748,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_small.qkv.dgrad.s131072.cp4",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_small.qkv.dgrad.s262144.cp8",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_small.oproj.dgrad.s131072.cp4",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_small.oproj.dgrad.s262144.cp8",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"llama3_8b.oproj.dgrad.s131072.cp4",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"llama3_8b.oproj.dgrad.s262144.cp8",32768,4096,4096,"nn",0.7647520005702972,0.7732111752033234,1.4377361902369172,66,23,1,0,148,0.0033056622237972997,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_small.qkv.dgrad.s262144.cp4",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_small.qkv.dgrad.s524288.cp8",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_small.oproj.dgrad.s262144.cp4",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
