models,ep,h,f,experts,topk,target_rows,cohort,status,pflops,ms,reference_backend,reference_pflops,retention_pct,historical_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,buffer_rows,tail_balance,run,case_index,reference_run,reference_case
deepseek_v41_flash,4,5120,2304,384,6,1,small_token_external_reference_snapshot,valid,0.005620159246049523,0.80599999425,cutlass_stock,0.006757498019561628,83.16923260325446,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,0,20260916-110545-5f35b2,0
deepseek_v41_flash,4,5120,2304,384,6,8,small_token_external_reference_snapshot,valid,0.04273966003422969,0.84789599475,cutlass_stock,0.052929300735083014,80.74858243101755,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,1,20260916-110545-5f35b2,1
deepseek_v41_flash,4,5120,2304,384,6,16,small_token_external_reference_snapshot,valid,0.08747498339521104,0.8285520077499999,cutlass_stock,0.10608544047767926,82.45710533069432,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,2,20260916-110545-5f35b2,2
deepseek_v41_flash,4,5120,2304,384,6,32,small_token_external_reference_snapshot,valid,0.16860739267553504,0.85971999175,cutlass_stock,0.21000687758610187,80.28660518815951,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,3,20260916-110545-5f35b2,3
deepseek_v41_flash,4,5120,2304,384,6,64,small_token_external_reference_snapshot,valid,0.3170053718157733,0.914528012,cutlass_stock,0.41268134410065715,76.81601709101066,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,4,20260916-110545-5f35b2,4
deepseek_v41_flash,4,5120,2304,384,6,96,small_token_external_reference_snapshot,valid,0.44196875626143844,0.98392800975,deepgemm_m128,0.6083463696415663,72.65084141487415,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,5,20260916-110545-5f35b2,5
deepseek_v41_flash,4,5120,2304,384,6,128,small_token_external_reference_snapshot,valid,0.5457689701059918,1.062391995,deepgemm_m128,0.8123284883081225,67.18574787924678,,256,64,1,2,40,108,0,,20260916-110545-5f35b2,6,20260916-110545-5f35b2,6
deepseek_v41_flash,4,5120,2304,384,6,192,release_equivalent,valid,0.5436986978676878,1.5996559874999998,deepgemm_m256,1.0233283719955475,53.130423503009595,12.36765742421857,256,64,1,2,40,108,0,true,20260917-004117-491c8e,0,20260916-110545-5f35b2,7
deepseek_v41_flash,4,5120,2304,384,6,256,release_equivalent,valid,0.8881021739980478,1.3057519775,deepgemm_m256,1.3861755425838576,64.068521389622,17.056226323042267,256,64,1,2,40,108,0,true,20260917-004117-491c8e,1,20260916-110545-5f35b2,8
deepseek_v41_flash,4,5120,2304,384,6,384,release_equivalent,valid,0.9695131678249812,1.79416001,cutlass_stock,1.2327305642975153,78.6476133474851,17.642125464606686,256,64,0,1,40,108,0,true,20260917-004117-491c8e,2,20260916-110545-5f35b2,9
deepseek_v41_flash,4,5120,2304,384,6,512,release_equivalent,valid,1.007665127922537,2.301639975,deepgemm_m256,1.4076458413054436,71.58513159730813,16.4015221364062,256,64,0,1,40,108,0,true,20260917-004117-491c8e,3,20260916-110545-5f35b2,10
deepseek_v41_flash,4,5120,2304,384,6,1024,release_equivalent,valid,1.0986673265131697,4.221992015,deepgemm_m256,1.317669241192697,83.37959877690578,14.562602743340335,256,64,0,1,40,108,0,true,20260917-004117-491c8e,4,20260916-110545-5f35b2,11
deepseek_v41_flash,4,5120,2304,384,6,2048,release_equivalent,valid,1.1067189874553127,8.3825519075,deepgemm_m256,1.371226974408002,80.7101237147931,10.627219459302829,256,64,0,1,40,108,0,true,20260917-004117-491c8e,5,20260916-145815-6cf15a,0
deepseek_v41_flash,4,5120,2304,384,6,4096,release_equivalent,valid,1.1219454726847238,16.537576174999998,cutlass_stock,1.3313202544999085,84.27314681741747,20.135574976421864,256,64,0,1,40,108,0,true,20260917-004117-491c8e,6,20260916-145815-6cf15a,1
deepseek_v41_flash,4,5120,2304,384,6,8192,release_equivalent,insufficient_memory,,,cutlass_stock,1.2850195762491643,,,256,64,0,1,40,108,0,true,20260917-004117-491c8e,7,20260916-145815-6cf15a,2
deepseek_v41_flash,8,5120,2304,384,6,1,small_token_external_reference_snapshot,valid,0.005025302984289074,0.45070400075,cutlass_stock,0.006580868086839257,76.3623114454903,,256,64,1,2,40,108,0,,20260916-110752-b9953d,0,20260916-110752-b9953d,0
deepseek_v41_flash,8,5120,2304,384,6,8,small_token_external_reference_snapshot,valid,0.03841719460588265,0.47164800725,deepgemm_m128,0.05005467853544916,76.75045715991415,,256,64,1,2,40,108,0,,20260916-110752-b9953d,1,20260916-110752-b9953d,1
